Frame,x,y
0,0.615,0.835
1,0.615,0.86
2,0.609,0.848
3,0.598,0.86
4,0.603,0.835
5,0.603,0.854
6,0.603,0.854
7,0.609,0.854
8,0.615,0.878
9,0.615,0.884
10,0.632,0.909
11,0.644,0.884
12,0.661,0.896
13,0.661,0.896
14,0.684,0.866
15,0.707,0.86
16,0.73,0.878
17,0.77,0.854
18,0.799,0.835
19,0.828,0.854
20,0.862,0.817
21,0.891,0.805
22,0.914,0.787
23,0.925,0.805
24,0.943,0.75
25,0.954,0.732
26,0.96,0.738
27,0.977,0.689
28,0.983,0.652
29,0.994,0.64
30,1.0,0.604
31,1.0,0.591
32,0.994,0.543
33,0.989,0.512
34,0.989,0.512
35,0.966,0.433
36,0.954,0.384
37,0.937,0.354
38,0.925,0.348
39,0.902,0.293
40,0.868,0.256
41,0.868,0.256
42,0.839,0.226
43,0.793,0.183
44,0.747,0.152
45,0.695,0.091
46,0.649,0.055
47,0.603,0.03
48,0.557,0.03
49,0.511,0.024
50,0.466,0.024
51,0.414,0.006
52,0.351,0.006
53,0.293,0.0
54,0.236,0.03
55,0.184,0.049
56,0.126,0.073
57,0.092,0.104
58,0.069,0.134
59,0.04,0.171
60,0.023,0.207
61,0.011,0.268
62,0.017,0.323
63,0.017,0.384
64,0.023,0.445
65,0.017,0.488
66,0.0,0.537
67,0.006,0.579
68,0.006,0.579
69,0.023,0.616
70,0.034,0.659
71,0.04,0.695
72,0.103,0.78
73,0.138,0.817
74,0.178,0.854
75,0.178,0.854
76,0.224,0.89
77,0.276,0.909
78,0.322,0.927
79,0.351,0.945
80,0.379,0.976
81,0.402,0.982
82,0.431,1.0
83,0.454,0.988
84,0.46,0.994
85,0.477,0.939
86,0.511,0.933
87,0.529,0.909
88,0.546,0.896
89,0.557,0.89
90,0.58,0.817
91,0.575,0.805
92,0.575,0.75
93,0.569,0.713
94,0.575,0.701
95,0.575,0.689
96,0.563,0.659
97,0.546,0.64
98,0.546,0.561
99,0.529,0.518
60,,
92,0.575,0.75
93,0.569,0.713
94,0.575,0.701
95,0.575,0.689
96,0.563,0.659
97,0.546,0.64
98,0.546,0.561
99,0.529,0.518
60,,
92,0.575,0.75
93,0.569,0.713
94,0.575,0.701
95,0.575,0.689
96,0.563,0.659
97,0.546,0.64
98,0.546,0.561
99,0.529,0.518
