Frame,x,y
0,0.46,0.897
1,0.471,0.903
2,0.477,0.916
3,0.477,0.916
4,0.483,0.923
5,0.494,0.923
6,0.494,0.929
7,0.5,0.929
8,0.517,0.948
9,0.517,0.935
10,0.523,0.948
11,0.529,0.942
12,0.54,0.942
13,0.563,1.0
14,0.58,0.948
15,0.621,0.942
16,0.661,0.935
17,0.707,0.935
18,0.747,0.923
19,0.787,0.91
20,0.822,0.897
21,0.862,0.871
22,0.891,0.826
23,0.902,0.819
24,0.92,0.755
25,0.937,0.735
26,0.948,0.748
27,0.96,0.671
28,0.971,0.697
29,0.983,0.626
30,0.994,0.619
31,0.994,0.619
32,1.0,0.548
33,1.0,0.49
34,0.994,0.465
35,0.983,0.413
36,0.948,0.348
37,0.931,0.284
38,0.931,0.284
39,0.908,0.252
40,0.874,0.213
41,0.833,0.181
42,0.793,0.155
43,0.753,0.129
44,0.724,0.077
45,0.695,0.052
46,0.655,0.032
47,0.609,0.019
48,0.569,0.013
49,0.511,0.0
50,0.46,0.013
51,0.408,0.019
52,0.345,0.032
53,0.287,0.052
54,0.241,0.077
55,0.207,0.097
56,0.161,0.11
57,0.132,0.142
58,0.098,0.168
59,0.098,0.168
60,0.052,0.245
61,0.029,0.29
62,0.023,0.335
63,0.011,0.374
64,0.006,0.406
65,0.006,0.406
66,0.0,0.452
67,0.0,0.49
68,0.011,0.535
69,0.029,0.594
70,0.04,0.632
71,0.063,0.69
72,0.086,0.723
73,0.103,0.742
74,0.126,0.787
75,0.138,0.806
76,0.155,0.839
77,0.172,0.871
78,0.201,0.903
79,0.236,0.923
80,0.282,0.942
81,0.305,0.948
82,0.339,0.955
83,0.379,0.981
84,0.408,0.987
85,0.425,0.987
86,0.448,0.974
87,0.466,0.948
88,0.483,0.923
89,0.506,0.903
90,0.517,0.871
91,0.517,0.852
92,0.517,0.8
93,0.517,0.8
94,0.529,0.787
95,0.523,0.748
96,0.511,0.632
97,0.506,0.6
98,0.506,0.587
99,0.5,0.548
