Frame,x,y
0,0.464,0.816
1,0.459,0.809
2,0.464,0.816
3,0.464,0.822
4,0.464,0.816
5,0.464,0.816
6,0.464,0.822
7,0.464,0.822
8,0.464,0.829
9,0.464,0.836
10,0.464,0.836
11,0.464,0.822
12,0.468,0.829
13,0.468,0.836
14,0.468,0.836
15,0.473,0.842
16,0.473,0.842
17,0.482,0.849
18,0.505,0.855
19,0.536,0.868
20,0.564,0.875
21,0.591,0.895
22,0.605,0.895
23,0.614,0.901
24,0.618,0.901
25,0.627,0.901
26,0.641,0.901
27,0.664,0.908
28,0.682,0.888
29,0.705,0.875
30,0.736,0.914
31,0.759,0.842
32,0.791,0.822
33,0.823,0.789
34,0.859,0.763
35,0.891,0.75
36,0.923,0.678
37,0.936,0.684
38,0.959,0.605
39,0.968,0.605
40,0.991,0.553
41,1.0,0.5
42,1.0,0.5
43,0.995,0.401
44,0.982,0.414
45,0.968,0.342
46,0.941,0.309
47,0.932,0.296
48,0.932,0.296
49,0.918,0.283
50,0.895,0.23
51,0.873,0.197
52,0.855,0.184
53,0.823,0.145
54,0.782,0.125
55,0.732,0.072
56,0.677,0.039
57,0.627,0.013
58,0.577,0.007
59,0.536,0.0
60,0.491,0.013
61,0.464,0.039
62,0.432,0.066
63,0.395,0.086
64,0.355,0.105
65,0.309,0.138
66,0.264,0.178
67,0.214,0.217
68,0.164,0.27
69,0.118,0.336
70,0.073,0.401
71,0.045,0.48
72,0.018,0.566
73,0.0,0.651
74,0.0,0.737
75,0.009,0.789
76,0.009,0.789
77,0.009,0.855
78,0.041,0.888
79,0.05,0.901
80,0.077,0.947
81,0.141,1.0
82,0.182,0.987
83,0.182,0.987
84,0.227,0.987
85,0.264,0.98
86,0.291,0.967
87,0.314,0.961
88,0.355,0.947
89,0.391,0.914
90,0.418,0.875
91,0.445,0.849
92,0.477,0.829
93,0.486,0.796
94,0.491,0.77
95,0.5,0.73
96,0.514,0.697
97,0.523,0.658
98,0.527,0.618
99,0.536,0.572
