Frame,x,y
0,0.533,0.779
1,0.528,0.779
2,0.524,0.791
3,0.519,0.802
4,0.519,0.802
5,0.514,0.802
6,0.509,0.808
7,0.505,0.82
8,0.5,0.826
9,0.5,0.826
10,0.5,0.831
11,0.5,0.837
12,0.5,0.843
13,0.495,0.849
14,0.495,0.849
15,0.5,0.849
16,0.5,0.855
17,0.5,0.855
18,0.505,0.866
19,0.514,0.872
20,0.542,0.89
21,0.58,0.901
22,0.613,0.907
23,0.613,0.907
24,0.637,0.919
25,0.66,0.93
26,0.689,0.924
27,0.717,0.913
28,0.745,0.895
29,0.769,0.878
30,0.792,0.855
31,0.811,0.831
32,0.835,0.797
33,0.863,0.738
34,0.887,0.669
35,0.915,0.657
36,0.943,0.657
37,0.967,0.593
38,0.967,0.57
39,0.967,0.552
40,0.986,0.477
41,0.995,0.424
42,1.0,0.355
43,0.986,0.308
44,0.962,0.267
45,0.934,0.221
46,0.901,0.174
47,0.858,0.122
48,0.807,0.099
49,0.755,0.07
50,0.708,0.047
51,0.708,0.047
52,0.67,0.029
53,0.627,0.023
54,0.585,0.0
55,0.547,0.0
56,0.458,0.0
57,0.401,0.023
58,0.401,0.023
59,0.34,0.023
60,0.288,0.047
61,0.245,0.07
62,0.203,0.11
63,0.16,0.151
64,0.132,0.203
65,0.108,0.267
66,0.08,0.326
67,0.061,0.378
68,0.042,0.442
69,0.014,0.494
70,0.0,0.581
71,0.009,0.68
72,0.028,0.767
73,0.042,0.843
74,0.061,0.89
75,0.08,0.924
76,0.09,0.959
77,0.108,0.983
78,0.137,0.994
79,0.137,0.994
80,0.208,0.994
81,0.245,1.0
82,0.283,0.994
83,0.311,0.977
84,0.344,0.959
85,0.382,0.936
86,0.382,0.936
87,0.415,0.913
88,0.443,0.89
89,0.462,0.866
90,0.476,0.837
91,0.486,0.808
92,0.505,0.767
93,0.519,0.727
94,0.542,0.68
95,0.561,0.645
96,0.575,0.599
97,0.585,0.581
98,0.585,0.529
99,0.58,0.488
