Frame,x,y
0,0.524,0.873
1,0.512,0.89
2,0.512,0.89
3,0.518,0.881
4,0.524,0.89
5,0.524,0.881
6,0.518,0.881
7,0.518,0.881
8,0.518,0.881
9,0.518,0.89
10,0.524,0.881
11,0.524,0.89
12,0.524,0.881
13,0.524,0.89
14,0.512,0.89
15,0.512,0.89
16,0.512,0.907
17,0.518,0.907
18,0.518,0.924
19,0.518,0.932
20,0.518,0.941
21,0.53,0.958
22,0.548,0.966
23,0.56,0.983
24,0.584,0.992
25,0.608,1.0
26,0.633,0.992
27,0.657,0.992
28,0.675,0.983
29,0.705,0.975
30,0.717,0.975
31,0.735,0.958
32,0.753,0.949
33,0.765,0.941
34,0.777,0.932
35,0.801,0.898
36,0.801,0.898
37,0.825,0.864
38,0.873,0.805
39,0.904,0.763
40,0.922,0.712
41,0.946,0.678
42,0.958,0.627
43,0.958,0.627
44,0.97,0.585
45,0.97,0.542
46,0.976,0.5
47,0.988,0.449
48,0.994,0.424
49,1.0,0.39
50,0.994,0.347
51,0.988,0.297
52,0.97,0.271
53,0.958,0.237
54,0.94,0.22
55,0.922,0.195
56,0.898,0.178
57,0.867,0.144
58,0.825,0.119
59,0.771,0.076
60,0.723,0.059
61,0.663,0.042
62,0.596,0.017
63,0.53,0.008
64,0.464,0.0
65,0.404,0.008
66,0.343,0.017
67,0.289,0.025
68,0.253,0.051
69,0.223,0.059
70,0.199,0.093
71,0.199,0.093
72,0.175,0.127
73,0.151,0.169
74,0.09,0.297
75,0.036,0.373
76,0.024,0.432
77,0.024,0.432
78,0.006,0.492
79,0.0,0.534
80,0.012,0.602
81,0.03,0.669
82,0.054,0.729
83,0.072,0.78
84,0.102,0.822
85,0.12,0.856
86,0.133,0.907
87,0.157,0.932
88,0.187,0.941
89,0.217,0.966
90,0.259,0.975
91,0.301,0.966
92,0.337,0.949
93,0.373,0.924
94,0.41,0.907
95,0.434,0.881
96,0.476,0.847
97,0.512,0.797
98,0.548,0.746
99,0.578,0.695
