Frame,x,y
0,0.598,0.635
1,0.598,0.645
2,0.602,0.655
3,0.606,0.66
4,0.606,0.655
5,0.61,0.66
6,0.61,0.67
7,0.606,0.675
8,0.61,0.68
9,0.614,0.685
10,0.622,0.68
11,0.625,0.69
12,0.629,0.695
13,0.637,0.704
14,0.649,0.709
15,0.649,0.709
16,0.673,0.704
17,0.697,0.704
18,0.741,0.709
19,0.761,0.714
20,0.781,0.714
21,0.805,0.709
22,0.805,0.709
23,0.821,0.69
24,0.841,0.68
25,0.853,0.665
26,0.869,0.65
27,0.88,0.635
28,0.9,0.611
29,0.916,0.581
30,0.932,0.562
31,0.948,0.522
32,0.96,0.473
33,0.976,0.453
34,0.984,0.404
35,0.992,0.36
36,1.0,0.325
37,0.996,0.281
38,0.988,0.241
39,0.98,0.217
40,0.968,0.172
41,0.96,0.177
42,0.94,0.118
43,0.896,0.074
44,0.837,0.054
45,0.765,0.02
46,0.681,0.0
47,0.59,0.005
48,0.446,0.034
49,0.446,0.034
50,0.323,0.113
51,0.223,0.256
52,0.116,0.335
53,0.024,0.493
54,0.004,0.596
55,0.0,0.675
56,0.0,0.675
57,0.024,0.754
58,0.044,0.818
59,0.052,0.862
60,0.076,0.911
61,0.108,0.946
62,0.139,0.97
63,0.179,0.985
64,0.239,0.995
65,0.287,0.995
66,0.327,1.0
67,0.371,0.995
68,0.418,0.985
69,0.45,0.961
70,0.482,0.936
71,0.51,0.906
72,0.538,0.887
73,0.542,0.862
74,0.558,0.842
75,0.582,0.813
76,0.598,0.773
77,0.614,0.734
78,0.622,0.685
79,0.637,0.645
80,0.645,0.616
81,0.645,0.576
82,0.649,0.537
83,0.649,0.502
84,0.649,0.502
85,0.649,0.473
86,0.649,0.443
87,0.653,0.414
88,0.669,0.384
89,0.685,0.34
90,0.685,0.34
91,0.693,0.315
92,0.697,0.291
93,0.701,0.266
94,0.697,0.241
95,0.697,0.217
96,0.693,0.197
97,0.693,0.177
98,0.693,0.167
99,0.693,0.153
