Frame,x,y
0,0.575,0.615
1,0.575,0.62
2,0.568,0.624
3,0.568,0.629
4,0.568,0.624
5,0.571,0.624
6,0.568,0.629
7,0.568,0.634
8,0.564,0.644
9,0.56,0.639
10,0.56,0.634
11,0.56,0.639
12,0.56,0.649
13,0.564,0.654
14,0.564,0.649
15,0.564,0.654
16,0.564,0.659
17,0.568,0.673
18,0.568,0.673
19,0.575,0.678
20,0.625,0.693
21,0.66,0.698
22,0.691,0.707
23,0.718,0.702
24,0.757,0.702
25,0.757,0.702
26,0.795,0.702
27,0.83,0.698
28,0.849,0.693
29,0.865,0.683
30,0.876,0.663
31,0.896,0.644
32,0.911,0.62
33,0.927,0.595
34,0.95,0.566
35,0.965,0.537
36,0.973,0.507
37,0.985,0.468
38,0.996,0.439
39,1.0,0.405
40,1.0,0.371
41,1.0,0.327
42,0.996,0.298
43,0.996,0.263
44,0.996,0.205
45,0.985,0.146
46,0.95,0.078
47,0.911,0.034
48,0.873,0.015
49,0.83,0.005
50,0.78,0.0
51,0.718,0.02
52,0.649,0.039
53,0.649,0.039
54,0.568,0.078
55,0.459,0.117
56,0.189,0.322
57,0.069,0.493
58,0.015,0.629
59,0.015,0.629
60,0.0,0.727
61,0.015,0.805
62,0.054,0.839
63,0.112,0.883
64,0.17,0.922
65,0.232,0.951
66,0.29,0.99
67,0.336,1.0
68,0.386,1.0
69,0.421,0.985
70,0.444,0.961
71,0.463,0.946
72,0.486,0.927
73,0.506,0.902
74,0.529,0.873
75,0.552,0.844
76,0.583,0.815
77,0.602,0.78
78,0.61,0.746
79,0.61,0.707
80,0.614,0.673
81,0.618,0.639
82,0.625,0.605
83,0.641,0.571
84,0.645,0.541
85,0.649,0.512
86,0.653,0.488
87,0.653,0.488
88,0.66,0.463
89,0.664,0.439
90,0.668,0.415
91,0.676,0.395
92,0.683,0.346
93,0.683,0.327
94,0.683,0.327
95,0.683,0.302
96,0.691,0.283
97,0.699,0.268
98,0.703,0.249
99,0.707,0.239
