Frame,x,y
0,0.581,0.684
1,0.571,0.701
2,0.567,0.701
3,0.571,0.695
4,0.576,0.695
5,0.571,0.701
6,0.567,0.707
7,0.562,0.713
8,0.562,0.707
9,0.567,0.701
10,0.571,0.701
11,0.571,0.701
12,0.567,0.718
13,0.567,0.718
14,0.562,0.724
15,0.562,0.724
16,0.571,0.724
17,0.581,0.736
18,0.604,0.753
19,0.604,0.753
20,0.618,0.753
21,0.645,0.764
22,0.664,0.764
23,0.682,0.764
24,0.7,0.764
25,0.728,0.759
26,0.751,0.747
27,0.779,0.736
28,0.806,0.736
29,0.839,0.718
30,0.876,0.701
31,0.903,0.661
32,0.922,0.638
33,0.926,0.621
34,0.931,0.58
35,0.945,0.557
36,0.968,0.529
37,0.986,0.511
38,1.0,0.5
39,1.0,0.448
40,1.0,0.448
41,0.995,0.425
42,0.963,0.402
43,0.945,0.345
44,0.912,0.31
45,0.889,0.287
46,0.876,0.247
47,0.876,0.247
48,0.862,0.218
49,0.857,0.184
50,0.843,0.155
51,0.825,0.126
52,0.811,0.098
53,0.788,0.069
54,0.751,0.034
55,0.7,0.017
56,0.631,0.0
57,0.548,0.011
58,0.456,0.052
59,0.355,0.098
60,0.24,0.155
61,0.138,0.213
62,0.06,0.282
63,0.014,0.368
64,0.0,0.437
65,0.018,0.517
66,0.041,0.58
67,0.078,0.644
68,0.12,0.713
69,0.161,0.764
70,0.194,0.816
71,0.217,0.868
72,0.24,0.92
73,0.258,0.937
74,0.281,0.954
75,0.281,0.954
76,0.318,0.983
77,0.369,1.0
78,0.452,1.0
79,0.484,0.971
80,0.521,0.948
81,0.521,0.948
82,0.553,0.902
83,0.571,0.874
84,0.581,0.833
85,0.594,0.81
86,0.608,0.787
87,0.608,0.759
88,0.604,0.718
89,0.594,0.678
90,0.59,0.649
91,0.59,0.621
92,0.594,0.586
93,0.599,0.54
94,0.599,0.5
95,0.608,0.46
96,0.608,0.414
97,0.604,0.379
98,0.599,0.345
99,0.594,0.31
