Frame,x,y
0,0.319,0.848
1,0.319,0.854
2,0.319,0.854
3,0.325,0.854
4,0.325,0.848
5,0.319,0.861
6,0.319,0.874
7,0.312,0.868
8,0.312,0.874
9,0.319,0.874
10,0.319,0.868
11,0.312,0.874
12,0.312,0.881
13,0.319,0.887
14,0.319,0.887
15,0.325,0.901
16,0.338,0.907
17,0.356,0.914
18,0.381,0.921
19,0.412,0.927
20,0.45,0.94
21,0.488,0.947
22,0.519,0.954
23,0.556,0.96
24,0.594,0.967
25,0.594,0.967
26,0.619,0.967
27,0.638,0.96
28,0.656,0.954
29,0.675,0.954
30,0.738,0.921
31,0.762,0.894
32,0.762,0.894
33,0.781,0.874
34,0.806,0.861
35,0.825,0.868
36,0.838,0.821
37,0.85,0.788
38,0.869,0.762
39,0.888,0.709
40,0.906,0.689
41,0.931,0.616
42,0.95,0.623
43,0.969,0.55
44,0.981,0.51
45,0.994,0.47
46,1.0,0.464
47,0.994,0.384
48,0.981,0.371
49,0.975,0.331
50,0.969,0.325
51,0.938,0.265
52,0.888,0.238
53,0.838,0.212
54,0.794,0.172
55,0.75,0.119
56,0.694,0.073
57,0.631,0.046
58,0.575,0.013
59,0.512,0.007
60,0.512,0.007
61,0.456,0.0
62,0.406,0.007
63,0.362,0.02
64,0.331,0.033
65,0.281,0.066
66,0.281,0.066
67,0.269,0.093
68,0.244,0.126
69,0.225,0.172
70,0.2,0.219
71,0.175,0.278
72,0.144,0.338
73,0.125,0.417
74,0.106,0.503
75,0.081,0.57
76,0.056,0.636
77,0.038,0.689
78,0.012,0.762
79,0.0,0.815
80,0.0,0.874
81,0.019,0.921
82,0.044,0.954
83,0.075,0.98
84,0.119,0.993
85,0.156,1.0
86,0.188,0.987
87,0.231,0.98
88,0.231,0.98
89,0.262,0.954
90,0.325,0.887
91,0.35,0.841
92,0.381,0.795
93,0.406,0.742
94,0.406,0.742
95,0.412,0.695
96,0.431,0.662
97,0.438,0.623
98,0.45,0.583
99,0.469,0.543
