Frame,x,y
0,0.415,0.902
1,0.415,0.914
2,0.409,0.914
3,0.403,0.92
4,0.403,0.908
5,0.403,0.908
6,0.398,0.92
7,0.392,0.926
8,0.392,0.926
9,0.392,0.926
10,0.392,0.926
11,0.392,0.92
12,0.392,0.933
13,0.392,0.933
14,0.398,0.939
15,0.398,0.933
16,0.392,0.939
17,0.398,0.939
18,0.398,0.951
19,0.409,0.957
20,0.42,0.963
21,0.438,0.963
22,0.466,0.982
23,0.494,0.982
24,0.54,1.0
25,0.574,0.975
26,0.608,0.975
27,0.636,0.969
28,0.665,0.963
29,0.693,0.951
30,0.722,0.92
31,0.744,0.908
32,0.767,0.883
33,0.79,0.865
34,0.807,0.84
35,0.824,0.81
36,0.841,0.785
37,0.841,0.785
38,0.864,0.748
39,0.92,0.681
40,0.943,0.632
41,0.966,0.54
42,0.977,0.485
43,0.994,0.423
44,0.994,0.423
45,0.994,0.405
46,1.0,0.35
47,0.989,0.307
48,0.966,0.294
49,0.926,0.227
50,0.869,0.19
51,0.818,0.147
52,0.784,0.123
53,0.756,0.098
54,0.722,0.061
55,0.676,0.037
56,0.625,0.018
57,0.58,0.012
58,0.54,0.0
59,0.489,0.0
60,0.449,0.0
61,0.381,0.018
62,0.33,0.037
63,0.273,0.055
64,0.21,0.061
65,0.159,0.086
66,0.108,0.104
67,0.074,0.141
68,0.051,0.178
69,0.04,0.221
70,0.04,0.264
71,0.028,0.313
72,0.028,0.313
73,0.011,0.38
74,0.006,0.429
75,0.0,0.497
76,0.023,0.62
77,0.045,0.669
78,0.045,0.669
79,0.074,0.718
80,0.108,0.761
81,0.136,0.804
82,0.159,0.834
83,0.193,0.859
84,0.233,0.877
85,0.267,0.883
86,0.301,0.89
87,0.335,0.883
88,0.381,0.871
89,0.415,0.859
90,0.438,0.847
91,0.466,0.847
92,0.477,0.804
93,0.477,0.773
94,0.483,0.724
95,0.483,0.693
96,0.477,0.65
97,0.472,0.607
98,0.466,0.577
99,0.46,0.546
