Frame,x,y
0,0.473,0.819
1,0.483,0.825
2,0.488,0.831
3,0.483,0.842
4,0.478,0.842
5,0.473,0.842
6,0.473,0.842
7,0.473,0.842
8,0.478,0.842
9,0.478,0.842
10,0.483,0.847
11,0.483,0.853
12,0.478,0.853
13,0.478,0.853
14,0.478,0.859
15,0.483,0.864
16,0.498,0.87
17,0.517,0.881
18,0.542,0.904
19,0.577,0.915
20,0.617,0.927
21,0.657,0.932
22,0.692,0.921
23,0.726,0.91
24,0.756,0.887
25,0.781,0.876
26,0.806,0.842
27,0.836,0.814
28,0.866,0.774
29,0.905,0.74
30,0.94,0.706
31,0.965,0.655
32,0.99,0.616
33,0.995,0.576
34,0.995,0.576
35,1.0,0.525
36,0.975,0.418
37,0.955,0.367
38,0.935,0.305
39,0.915,0.249
40,0.876,0.198
41,0.876,0.198
42,0.836,0.136
43,0.786,0.09
44,0.741,0.056
45,0.697,0.023
46,0.642,0.011
47,0.582,0.0
48,0.527,0.0
49,0.473,0.011
50,0.423,0.028
51,0.378,0.045
52,0.338,0.068
53,0.284,0.102
54,0.239,0.141
55,0.189,0.186
56,0.139,0.232
57,0.1,0.294
58,0.06,0.345
59,0.03,0.412
60,0.01,0.497
61,0.005,0.576
62,0.005,0.655
63,0.0,0.729
64,0.005,0.791
65,0.02,0.842
66,0.03,0.881
67,0.045,0.915
68,0.075,0.949
69,0.075,0.949
70,0.104,0.96
71,0.134,0.972
72,0.204,0.994
73,0.239,0.994
74,0.294,1.0
75,0.348,1.0
76,0.348,1.0
77,0.388,0.989
78,0.423,0.972
79,0.453,0.949
80,0.473,0.921
81,0.483,0.893
82,0.493,0.87
83,0.507,0.836
84,0.522,0.797
85,0.532,0.763
86,0.547,0.734
87,0.557,0.689
88,0.567,0.65
89,0.577,0.605
90,0.582,0.571
91,0.587,0.542
92,0.597,0.525
93,0.602,0.503
94,0.602,0.486
95,0.607,0.469
96,0.612,0.446
97,0.607,0.418
98,0.612,0.395
99,0.617,0.407
