Frame,x,y
0,0.428,0.855
1,0.421,0.876
2,0.403,0.89
3,0.396,0.897
4,0.39,0.89
5,0.39,0.883
6,0.396,0.883
7,0.409,0.876
8,0.409,0.883
9,0.403,0.876
10,0.403,0.869
11,0.403,0.869
12,0.403,0.869
13,0.403,0.869
14,0.403,0.883
15,0.409,0.89
16,0.428,0.903
17,0.447,0.924
18,0.447,0.924
19,0.478,0.945
20,0.522,0.966
21,0.579,0.972
22,0.642,0.993
23,0.698,1.0
24,0.748,1.0
25,0.786,0.993
26,0.818,0.966
27,0.836,0.952
28,0.862,0.924
29,0.887,0.903
30,0.912,0.862
31,0.931,0.814
32,0.956,0.759
33,0.975,0.703
34,0.994,0.648
35,1.0,0.6
36,1.0,0.538
37,0.987,0.469
38,0.975,0.4
39,0.95,0.324
40,0.931,0.269
41,0.912,0.193
42,0.893,0.159
43,0.868,0.11
44,0.843,0.069
45,0.811,0.041
46,0.811,0.041
47,0.774,0.021
48,0.723,0.007
49,0.679,0.0
50,0.623,0.0
51,0.566,0.007
52,0.428,0.041
53,0.428,0.041
54,0.365,0.069
55,0.283,0.09
56,0.22,0.117
57,0.17,0.159
58,0.132,0.186
59,0.101,0.234
60,0.075,0.283
61,0.05,0.345
62,0.025,0.421
63,0.013,0.483
64,0.0,0.559
65,0.006,0.607
66,0.013,0.655
67,0.013,0.683
68,0.019,0.738
69,0.025,0.759
70,0.031,0.779
71,0.044,0.807
72,0.057,0.834
73,0.082,0.848
74,0.082,0.848
75,0.113,0.862
76,0.189,0.883
77,0.239,0.897
78,0.283,0.91
79,0.314,0.897
80,0.346,0.876
81,0.346,0.876
82,0.377,0.855
83,0.403,0.828
84,0.434,0.807
85,0.453,0.786
86,0.465,0.752
87,0.472,0.717
88,0.484,0.676
89,0.491,0.641
90,0.497,0.607
91,0.503,0.572
92,0.503,0.545
93,0.509,0.51
94,0.528,0.476
95,0.541,0.441
96,0.553,0.393
97,0.56,0.359
98,0.572,0.331
99,0.579,0.303
