Frame,x,y
0,0.373,0.891
1,0.365,0.891
2,0.365,0.891
3,0.365,0.898
4,0.381,0.898
5,0.381,0.891
6,0.389,0.891
7,0.389,0.898
8,0.389,0.898
9,0.389,0.891
10,0.389,0.883
11,0.389,0.883
12,0.397,0.883
13,0.405,0.891
14,0.405,0.891
15,0.397,0.898
16,0.397,0.898
17,0.397,0.905
18,0.405,0.912
19,0.444,0.927
20,0.444,0.927
21,0.468,0.934
22,0.5,0.956
23,0.54,0.971
24,0.587,0.978
25,0.619,0.978
26,0.659,0.978
27,0.706,0.971
28,0.754,0.942
29,0.786,0.912
30,0.825,0.883
31,0.865,0.854
32,0.897,0.825
33,0.921,0.788
34,0.937,0.752
35,0.944,0.693
36,0.968,0.664
37,0.968,0.606
38,0.992,0.577
39,0.992,0.533
40,0.992,0.496
41,0.992,0.496
42,1.0,0.438
43,0.984,0.372
44,0.96,0.328
45,0.929,0.292
46,0.873,0.219
47,0.81,0.182
48,0.81,0.182
49,0.738,0.117
50,0.659,0.08
51,0.563,0.044
52,0.476,0.022
53,0.373,0.015
54,0.278,0.0
55,0.198,0.015
56,0.135,0.029
57,0.079,0.051
58,0.048,0.102
59,0.024,0.168
60,0.0,0.241
61,0.0,0.336
62,0.016,0.423
63,0.024,0.526
64,0.024,0.606
65,0.016,0.693
66,0.016,0.781
67,0.032,0.861
68,0.056,0.912
69,0.079,0.949
70,0.111,0.978
71,0.151,1.0
72,0.183,1.0
73,0.222,1.0
74,0.254,0.985
75,0.286,0.964
76,0.286,0.964
77,0.317,0.942
78,0.349,0.927
79,0.421,0.891
80,0.452,0.876
81,0.484,0.854
82,0.484,0.854
83,0.508,0.832
84,0.532,0.796
85,0.556,0.759
86,0.563,0.73
87,0.579,0.679
88,0.587,0.642
89,0.587,0.599
90,0.587,0.562
91,0.595,0.526
92,0.587,0.511
93,0.587,0.438
94,0.587,0.387
95,0.571,0.343
96,0.571,0.321
97,0.563,0.314
98,0.571,0.292
99,0.563,0.27
