Frame,x,y
0,0.537,0.719
1,0.525,0.725
2,0.5,0.739
3,0.488,0.725
4,0.475,0.725
5,0.463,0.712
6,0.463,0.712
7,0.457,0.712
8,0.451,0.712
9,0.451,0.719
10,0.451,0.719
11,0.451,0.725
12,0.444,0.712
13,0.438,0.712
14,0.438,0.725
15,0.444,0.732
16,0.444,0.745
17,0.444,0.745
18,0.444,0.752
19,0.444,0.758
20,0.444,0.771
21,0.457,0.778
22,0.475,0.784
23,0.506,0.804
24,0.537,0.81
25,0.58,0.817
26,0.617,0.804
27,0.66,0.791
28,0.704,0.771
29,0.759,0.739
30,0.821,0.712
31,0.864,0.693
32,0.907,0.66
33,0.932,0.647
34,0.951,0.647
35,0.975,0.595
36,0.981,0.588
37,1.0,0.49
38,1.0,0.49
39,0.988,0.51
40,0.975,0.333
41,0.957,0.346
42,0.932,0.275
43,0.914,0.216
44,0.87,0.176
45,0.87,0.176
46,0.833,0.131
47,0.79,0.111
48,0.747,0.065
49,0.698,0.039
50,0.654,0.033
51,0.611,0.013
52,0.549,0.0
53,0.488,0.02
54,0.444,0.039
55,0.389,0.059
56,0.346,0.098
57,0.296,0.124
58,0.247,0.157
59,0.191,0.196
60,0.136,0.229
61,0.08,0.275
62,0.049,0.327
63,0.025,0.399
64,0.006,0.484
65,0.0,0.569
66,0.006,0.66
67,0.043,0.739
68,0.08,0.804
69,0.123,0.882
70,0.148,0.908
71,0.167,0.948
72,0.167,0.948
73,0.191,0.98
74,0.21,0.987
75,0.241,1.0
76,0.333,0.993
77,0.377,0.967
78,0.432,0.967
79,0.432,0.967
80,0.469,0.935
81,0.506,0.922
82,0.531,0.869
83,0.562,0.837
84,0.574,0.791
85,0.599,0.765
86,0.617,0.725
87,0.636,0.686
88,0.642,0.647
89,0.654,0.634
90,0.66,0.595
91,0.673,0.562
92,0.685,0.536
93,0.685,0.51
94,0.704,0.497
95,0.71,0.464
96,0.716,0.444
97,0.728,0.405
98,0.741,0.399
99,0.753,0.366
