Frame,x,y
0,0.415,0.753
1,0.408,0.779
2,0.395,0.818
3,0.395,0.818
4,0.401,0.779
5,0.401,0.779
6,0.401,0.766
7,0.408,0.792
8,0.401,0.792
9,0.401,0.792
10,0.401,0.792
11,0.401,0.779
12,0.408,0.792
13,0.422,0.818
14,0.429,0.831
15,0.435,0.857
16,0.456,0.857
17,0.476,0.883
18,0.51,0.909
19,0.537,0.935
20,0.578,0.948
21,0.612,0.974
22,0.646,0.974
23,0.68,1.0
24,0.68,1.0
25,0.707,0.987
26,0.755,0.974
27,0.782,0.961
28,0.803,0.948
29,0.83,0.922
30,0.864,0.883
31,0.864,0.883
32,0.891,0.831
33,0.918,0.818
34,0.952,0.779
35,0.973,0.74
36,0.986,0.675
37,0.993,0.623
38,1.0,0.571
39,1.0,0.481
40,0.986,0.455
41,0.959,0.403
42,0.932,0.325
43,0.912,0.247
44,0.871,0.169
45,0.796,0.117
46,0.728,0.078
47,0.646,0.039
48,0.585,0.026
49,0.531,0.0
50,0.476,0.013
51,0.415,0.0
52,0.374,0.039
53,0.327,0.013
54,0.279,0.052
55,0.238,0.078
56,0.19,0.13
57,0.156,0.169
58,0.116,0.221
59,0.116,0.221
60,0.068,0.299
61,0.041,0.364
62,0.0,0.506
63,0.0,0.558
64,0.0,0.61
65,0.0,0.61
66,0.007,0.649
67,0.034,0.701
68,0.061,0.727
69,0.095,0.766
70,0.143,0.779
71,0.19,0.792
72,0.231,0.831
73,0.259,0.844
74,0.279,0.831
75,0.306,0.818
76,0.333,0.805
77,0.354,0.766
78,0.361,0.766
79,0.381,0.74
80,0.401,0.701
81,0.415,0.688
82,0.422,0.675
83,0.442,0.649
84,0.456,0.636
85,0.469,0.597
86,0.476,0.558
87,0.49,0.545
88,0.49,0.519
89,0.503,0.519
90,0.51,0.519
91,0.517,0.494
92,0.531,0.481
93,0.531,0.481
94,0.531,0.468
95,0.551,0.468
96,0.551,0.442
97,0.558,0.442
98,0.558,0.455
99,0.571,0.442
