Frame,x,y
0,0.434,0.823
1,0.423,0.811
2,0.423,0.793
3,0.423,0.799
4,0.429,0.805
5,0.434,0.799
6,0.434,0.799
7,0.429,0.793
8,0.429,0.799
9,0.429,0.805
10,0.429,0.835
11,0.434,0.829
12,0.44,0.817
13,0.451,0.829
14,0.463,0.854
15,0.48,0.86
16,0.503,0.823
17,0.531,0.829
18,0.56,0.86
19,0.583,0.86
20,0.629,0.878
21,0.663,0.817
22,0.691,0.774
23,0.731,0.841
24,0.754,0.866
25,0.794,0.829
26,0.851,0.787
27,0.891,0.738
28,0.926,0.72
29,0.949,0.787
30,0.971,0.677
31,0.989,0.604
32,1.0,0.482
33,0.983,0.53
34,0.983,0.53
35,0.971,0.482
36,0.949,0.433
37,0.914,0.305
38,0.897,0.299
39,0.869,0.287
40,0.834,0.244
41,0.834,0.244
42,0.823,0.134
43,0.789,0.189
44,0.771,0.152
45,0.749,0.14
46,0.726,0.098
47,0.691,0.061
48,0.634,0.055
49,0.589,0.0
50,0.543,0.055
51,0.497,0.043
52,0.457,0.055
53,0.411,0.079
54,0.371,0.055
55,0.326,0.073
56,0.274,0.091
57,0.229,0.116
58,0.183,0.152
59,0.143,0.195
60,0.114,0.238
61,0.086,0.293
62,0.057,0.317
63,0.051,0.384
64,0.04,0.421
65,0.04,0.482
66,0.029,0.518
67,0.023,0.567
68,0.011,0.628
69,0.011,0.628
70,0.006,0.677
71,0.0,0.713
72,0.0,0.738
73,0.046,0.787
74,0.074,0.823
75,0.074,0.823
76,0.109,0.854
77,0.16,0.884
78,0.217,0.896
79,0.263,0.921
80,0.314,0.933
81,0.366,0.97
82,0.411,1.0
83,0.434,0.957
84,0.463,0.945
85,0.491,0.927
86,0.514,0.921
87,0.531,0.902
88,0.554,0.884
89,0.566,0.86
90,0.566,0.768
91,0.571,0.75
92,0.583,0.695
93,0.56,0.646
94,0.554,0.61
95,0.537,0.561
96,0.537,0.561
97,0.526,0.488
98,0.52,0.439
99,0.509,0.427
