Frame,x,y
0,0.489,0.933
1,0.489,0.942
2,0.489,0.942
3,0.489,0.942
4,0.496,0.942
5,0.496,0.942
6,0.496,0.95
7,0.489,0.942
8,0.481,0.942
9,0.489,0.95
10,0.496,0.942
11,0.511,0.942
12,0.511,0.942
13,0.519,0.958
14,0.511,0.967
15,0.511,0.967
16,0.526,0.958
17,0.556,0.975
18,0.585,0.983
19,0.607,0.983
20,0.637,1.0
21,0.659,0.992
22,0.674,0.983
23,0.696,0.967
24,0.719,0.958
25,0.756,0.942
26,0.793,0.908
27,0.83,0.9
28,0.867,0.858
29,0.889,0.825
30,0.896,0.775
31,0.919,0.725
32,0.941,0.683
33,0.963,0.667
34,0.985,0.592
35,0.985,0.55
36,0.993,0.517
37,0.993,0.45
38,0.993,0.392
39,0.993,0.392
40,1.0,0.35
41,1.0,0.308
42,0.978,0.267
43,0.978,0.233
44,0.963,0.192
45,0.844,0.108
46,0.844,0.108
47,0.778,0.108
48,0.704,0.067
49,0.622,0.042
50,0.541,0.008
51,0.467,0.008
52,0.4,0.008
53,0.326,0.0
54,0.267,0.025
55,0.222,0.042
56,0.185,0.058
57,0.141,0.092
58,0.096,0.117
59,0.059,0.15
60,0.03,0.2
61,0.007,0.25
62,0.0,0.3
63,0.0,0.358
64,0.007,0.417
65,0.03,0.492
66,0.059,0.533
67,0.059,0.533
68,0.096,0.583
69,0.163,0.675
70,0.2,0.733
71,0.23,0.742
72,0.274,0.758
73,0.311,0.783
74,0.311,0.783
75,0.363,0.808
76,0.407,0.808
77,0.452,0.817
78,0.496,0.892
79,0.541,0.892
80,0.563,0.783
81,0.585,0.792
82,0.607,0.792
83,0.607,0.783
84,0.622,0.717
85,0.607,0.733
86,0.615,0.658
87,0.622,0.608
88,0.622,0.608
89,0.637,0.6
90,0.637,0.55
91,0.652,0.467
92,0.63,0.458
93,0.63,0.458
94,0.644,0.417
95,0.637,0.408
96,0.637,0.367
97,0.637,0.383
98,0.644,0.375
99,0.644,0.35
