Frame,x,y
0,0.428,0.77
1,0.428,0.779
2,0.421,0.779
3,0.421,0.779
4,0.428,0.787
5,0.428,0.787
6,0.428,0.779
7,0.434,0.787
8,0.428,0.787
9,0.428,0.803
10,0.434,0.787
11,0.434,0.787
12,0.428,0.779
13,0.434,0.787
14,0.434,0.795
15,0.434,0.795
16,0.428,0.795
17,0.428,0.795
18,0.428,0.803
19,0.428,0.803
20,0.428,0.811
21,0.44,0.836
22,0.44,0.844
23,0.453,0.861
24,0.472,0.877
25,0.497,0.902
26,0.535,0.926
27,0.572,0.967
28,0.604,0.984
29,0.642,0.992
30,0.667,1.0
31,0.686,0.984
32,0.686,0.984
33,0.723,0.967
34,0.742,0.951
35,0.761,0.926
36,0.78,0.902
37,0.805,0.869
38,0.83,0.82
39,0.83,0.82
40,0.862,0.762
41,0.887,0.705
42,0.906,0.656
43,0.925,0.598
44,0.95,0.541
45,0.981,0.434
46,0.981,0.434
47,0.994,0.369
48,1.0,0.32
49,0.994,0.262
50,0.975,0.205
51,0.95,0.156
52,0.925,0.107
53,0.893,0.082
54,0.855,0.049
55,0.805,0.025
56,0.755,0.008
57,0.711,0.008
58,0.667,0.0
59,0.629,0.008
60,0.591,0.016
61,0.553,0.025
62,0.516,0.033
63,0.465,0.049
64,0.415,0.082
65,0.352,0.107
66,0.296,0.164
67,0.296,0.164
68,0.226,0.213
69,0.094,0.328
70,0.05,0.41
71,0.019,0.475
72,0.0,0.541
73,0.0,0.541
74,0.0,0.598
75,0.019,0.648
76,0.044,0.697
77,0.082,0.746
78,0.113,0.779
79,0.145,0.803
80,0.164,0.803
81,0.176,0.795
82,0.195,0.795
83,0.22,0.811
84,0.239,0.795
85,0.264,0.787
86,0.283,0.77
87,0.314,0.754
88,0.34,0.73
89,0.365,0.721
90,0.384,0.697
91,0.409,0.689
92,0.44,0.664
93,0.453,0.623
94,0.472,0.582
95,0.484,0.541
96,0.497,0.525
97,0.516,0.5
98,0.522,0.467
99,0.535,0.443
