Frame,x,y
0,0.459,0.817
1,0.455,0.817
2,0.45,0.823
3,0.445,0.823
4,0.445,0.84
5,0.445,0.817
6,0.455,0.834
7,0.455,0.811
8,0.455,0.834
9,0.455,0.846
10,0.45,0.846
11,0.455,0.863
12,0.45,0.846
13,0.455,0.863
14,0.474,0.891
15,0.488,0.914
16,0.517,0.931
17,0.517,0.931
18,0.55,0.954
19,0.589,0.96
20,0.646,0.977
21,0.67,0.977
22,0.684,0.96
23,0.684,0.96
24,0.708,1.0
25,0.727,0.994
26,0.766,0.977
27,0.794,0.96
28,0.823,0.874
29,0.866,0.857
30,0.9,0.874
31,0.933,0.794
32,0.957,0.749
33,0.971,0.714
34,0.99,0.594
35,0.99,0.583
36,1.0,0.474
37,0.99,0.457
38,1.0,0.371
39,0.995,0.337
40,0.99,0.274
41,0.981,0.217
42,0.962,0.206
43,0.943,0.16
44,0.923,0.126
45,0.89,0.12
46,0.856,0.109
47,0.818,0.086
48,0.766,0.029
49,0.708,0.029
50,0.641,0.006
51,0.641,0.006
52,0.574,0.0
53,0.507,0.0
54,0.44,0.006
55,0.378,0.029
56,0.278,0.069
57,0.23,0.091
58,0.23,0.091
59,0.177,0.131
60,0.139,0.166
61,0.11,0.211
62,0.091,0.263
63,0.072,0.309
64,0.057,0.36
65,0.038,0.406
66,0.019,0.44
67,0.01,0.48
68,0.0,0.52
69,0.005,0.566
70,0.014,0.611
71,0.033,0.651
72,0.053,0.68
73,0.072,0.709
74,0.105,0.726
75,0.148,0.737
76,0.177,0.76
77,0.206,0.777
78,0.239,0.794
79,0.239,0.794
80,0.282,0.794
81,0.306,0.783
82,0.335,0.783
83,0.349,0.76
84,0.378,0.754
85,0.378,0.754
86,0.407,0.743
87,0.445,0.737
88,0.464,0.697
89,0.493,0.663
90,0.517,0.634
91,0.526,0.6
92,0.545,0.594
93,0.555,0.543
94,0.565,0.531
95,0.555,0.457
96,0.555,0.417
97,0.565,0.429
98,0.56,0.377
99,0.569,0.36
