Frame,x,y
0,0.48,0.739
1,0.48,0.746
2,0.48,0.746
3,0.48,0.746
4,0.48,0.746
5,0.48,0.746
6,0.475,0.746
7,0.48,0.754
8,0.475,0.754
9,0.48,0.761
10,0.48,0.769
11,0.48,0.769
12,0.48,0.769
13,0.48,0.784
14,0.48,0.799
15,0.486,0.813
16,0.497,0.828
17,0.52,0.858
18,0.554,0.896
19,0.588,0.933
20,0.621,0.948
21,0.65,0.963
22,0.689,0.97
23,0.723,0.97
24,0.746,0.963
25,0.746,0.963
26,0.819,0.933
27,0.847,0.91
28,0.876,0.888
29,0.898,0.858
30,0.932,0.813
31,0.932,0.813
32,0.96,0.761
33,0.977,0.694
34,0.989,0.627
35,1.0,0.552
36,1.0,0.485
37,0.994,0.418
38,0.977,0.336
39,0.944,0.261
40,0.91,0.201
41,0.864,0.134
42,0.814,0.067
43,0.763,0.045
44,0.712,0.015
45,0.661,0.007
46,0.599,0.0
47,0.537,0.007
48,0.475,0.015
49,0.407,0.037
50,0.345,0.075
51,0.288,0.119
52,0.249,0.157
53,0.203,0.209
54,0.164,0.276
55,0.136,0.321
56,0.096,0.366
57,0.068,0.425
58,0.045,0.485
59,0.045,0.485
60,0.017,0.552
61,0.006,0.634
62,0.0,0.784
63,0.006,0.866
64,0.034,0.94
65,0.073,0.993
66,0.073,0.993
67,0.13,1.0
68,0.175,1.0
69,0.215,1.0
70,0.249,0.993
71,0.277,0.985
72,0.299,0.978
73,0.322,0.948
74,0.35,0.918
75,0.384,0.881
76,0.412,0.843
77,0.435,0.813
78,0.458,0.776
79,0.48,0.731
80,0.503,0.679
81,0.508,0.642
82,0.514,0.612
83,0.52,0.582
84,0.531,0.537
85,0.542,0.493
86,0.548,0.448
87,0.554,0.403
88,0.559,0.381
89,0.571,0.358
90,0.582,0.328
91,0.582,0.306
92,0.588,0.299
93,0.593,0.276
94,0.593,0.276
95,0.599,0.269
96,0.599,0.261
97,0.593,0.254
98,0.599,0.246
99,0.599,0.231
