Frame,x,y
0,0.581,0.879
1,0.575,0.879
2,0.575,0.872
3,0.581,0.866
4,0.581,0.866
5,0.591,0.859
6,0.586,0.886
7,0.591,0.846
8,0.586,0.879
9,0.591,0.866
10,0.597,0.872
11,0.591,0.866
12,0.597,0.893
13,0.597,0.94
14,0.602,0.96
15,0.608,0.966
16,0.624,0.98
17,0.624,0.98
18,0.629,0.953
19,0.672,0.966
20,0.694,0.98
21,0.72,0.987
22,0.742,0.993
23,0.774,1.0
24,0.774,1.0
25,0.812,0.987
26,0.828,0.96
27,0.844,0.946
28,0.876,0.926
29,0.898,0.899
30,0.914,0.899
31,0.935,0.893
32,0.957,0.832
33,0.952,0.872
34,0.962,0.805
35,0.962,0.745
36,0.973,0.738
37,0.973,0.691
38,0.984,0.664
39,0.995,0.544
40,1.0,0.517
41,0.995,0.53
42,1.0,0.443
43,0.995,0.409
44,0.989,0.423
45,0.984,0.336
46,0.962,0.309
47,0.935,0.309
48,0.909,0.228
49,0.86,0.215
50,0.817,0.195
51,0.774,0.168
52,0.774,0.168
53,0.731,0.128
54,0.667,0.101
55,0.548,0.054
56,0.495,0.04
57,0.441,0.02
58,0.441,0.02
59,0.387,0.02
60,0.323,0.0
61,0.274,0.034
62,0.226,0.034
63,0.172,0.054
64,0.129,0.087
65,0.086,0.134
66,0.043,0.174
67,0.022,0.235
68,0.005,0.289
69,0.0,0.342
70,0.0,0.403
71,0.011,0.45
72,0.027,0.49
73,0.048,0.537
74,0.081,0.591
75,0.108,0.638
76,0.134,0.691
77,0.161,0.732
78,0.188,0.779
79,0.21,0.812
80,0.237,0.839
81,0.269,0.872
82,0.29,0.886
83,0.323,0.899
84,0.349,0.906
85,0.382,0.906
86,0.382,0.906
87,0.414,0.899
88,0.441,0.886
89,0.473,0.879
90,0.484,0.839
91,0.505,0.799
92,0.516,0.758
93,0.516,0.758
94,0.522,0.779
95,0.527,0.691
96,0.532,0.651
97,0.543,0.664
98,0.554,0.597
99,0.565,0.617
