Frame,x,y
0,0.613,0.875
1,0.607,0.844
2,0.595,0.825
3,0.607,0.869
4,0.607,0.844
5,0.607,0.888
6,0.607,0.85
7,0.601,0.85
8,0.601,0.906
9,0.613,0.925
10,0.613,0.869
11,0.624,0.888
12,0.636,0.888
13,0.659,0.912
14,0.694,0.919
15,0.728,0.912
16,0.769,0.919
17,0.798,0.894
18,0.827,0.875
19,0.861,0.9
20,0.884,0.844
21,0.908,0.888
22,0.925,0.806
23,0.925,0.806
24,0.954,0.806
25,0.96,0.775
26,0.994,0.719
27,1.0,0.738
28,0.988,0.688
29,0.994,0.65
30,0.994,0.65
31,0.983,0.556
32,0.994,0.575
33,0.983,0.488
34,0.971,0.388
35,0.96,0.362
36,0.936,0.362
37,0.913,0.306
38,0.896,0.275
39,0.861,0.188
40,0.809,0.119
41,0.769,0.1
42,0.717,0.081
43,0.665,0.05
44,0.601,0.025
45,0.538,0.0
46,0.497,0.0
47,0.457,0.0
48,0.416,0.019
49,0.37,0.025
50,0.324,0.05
51,0.277,0.075
52,0.237,0.106
53,0.197,0.138
54,0.156,0.181
55,0.116,0.225
56,0.087,0.288
57,0.087,0.288
58,0.058,0.362
59,0.029,0.444
60,0.006,0.512
61,0.0,0.588
62,0.023,0.7
63,0.04,0.762
64,0.04,0.762
65,0.069,0.819
66,0.104,0.862
67,0.145,0.9
68,0.197,0.956
69,0.231,0.969
70,0.277,0.981
71,0.324,0.994
72,0.358,0.994
73,0.399,1.0
74,0.428,0.981
75,0.445,0.956
76,0.474,0.944
77,0.486,0.931
78,0.503,0.931
79,0.509,0.906
80,0.526,0.888
81,0.538,0.85
82,0.543,0.794
83,0.555,0.775
84,0.572,0.731
85,0.578,0.706
86,0.584,0.694
87,0.59,0.594
88,0.59,0.581
89,0.572,0.512
90,0.572,0.5
91,0.578,0.475
92,0.578,0.475
93,0.572,0.456
94,0.561,0.444
95,0.561,0.388
96,0.555,0.344
97,0.555,0.319
98,0.561,0.294
99,0.561,0.3
