Frame,x,y
0,0.452,0.957
1,0.452,0.957
2,0.445,0.964
3,0.445,0.971
4,0.445,0.964
5,0.445,0.964
6,0.445,0.964
7,0.445,0.964
8,0.445,0.957
9,0.452,0.978
10,0.452,0.964
11,0.452,0.964
12,0.452,0.964
13,0.458,0.986
14,0.458,0.978
15,0.465,0.978
16,0.49,1.0
17,0.49,1.0
18,0.497,1.0
19,0.51,0.993
20,0.535,1.0
21,0.568,0.986
22,0.594,0.986
23,0.626,0.993
24,0.665,1.0
25,0.697,0.978
26,0.729,0.957
27,0.768,0.935
28,0.819,0.942
29,0.865,0.913
30,0.903,0.87
31,0.935,0.826
32,0.974,0.804
33,1.0,0.797
34,1.0,0.761
35,1.0,0.688
36,0.994,0.58
37,0.987,0.529
38,0.987,0.529
39,0.974,0.543
40,0.948,0.362
41,0.929,0.312
42,0.903,0.239
43,0.865,0.203
44,0.832,0.138
45,0.832,0.138
46,0.8,0.101
47,0.755,0.094
48,0.723,0.043
49,0.684,0.036
50,0.645,0.014
51,0.613,0.0
52,0.587,0.007
53,0.555,0.014
54,0.516,0.051
55,0.471,0.007
56,0.419,0.029
57,0.368,0.058
58,0.316,0.101
59,0.265,0.13
60,0.213,0.174
61,0.168,0.203
62,0.116,0.246
63,0.077,0.29
64,0.045,0.333
65,0.019,0.384
66,0.006,0.435
67,0.0,0.493
68,0.013,0.543
69,0.026,0.587
70,0.039,0.645
71,0.065,0.696
72,0.071,0.717
73,0.071,0.717
74,0.116,0.804
75,0.123,0.819
76,0.194,0.862
77,0.245,0.884
78,0.29,0.899
79,0.29,0.899
80,0.323,0.855
81,0.361,0.862
82,0.381,0.841
83,0.406,0.812
84,0.439,0.783
85,0.458,0.746
86,0.477,0.725
87,0.497,0.667
88,0.523,0.63
89,0.535,0.609
90,0.542,0.58
91,0.555,0.551
92,0.555,0.522
93,0.561,0.514
94,0.561,0.471
95,0.574,0.478
96,0.574,0.428
97,0.581,0.406
98,0.581,0.391
99,0.587,0.399
