Frame,x,y
0,0.438,0.811
1,0.438,0.833
2,0.438,0.833
3,0.438,0.833
4,0.438,0.818
5,0.438,0.818
6,0.431,0.833
7,0.423,0.833
8,0.423,0.841
9,0.431,0.833
10,0.431,0.833
11,0.438,0.856
12,0.438,0.848
13,0.445,0.871
14,0.467,0.894
15,0.496,0.924
16,0.562,1.0
17,0.562,1.0
18,0.599,0.97
19,0.642,0.977
20,0.664,0.977
21,0.708,0.985
22,0.73,0.985
23,0.752,0.924
24,0.796,0.955
25,0.832,0.924
26,0.861,0.894
27,0.891,0.955
28,0.92,0.894
29,0.949,0.72
30,0.971,0.788
31,0.971,0.697
32,0.985,0.652
33,0.993,0.629
34,0.985,0.652
35,1.0,0.538
36,0.985,0.523
37,0.978,0.455
38,0.978,0.455
39,0.964,0.417
40,0.942,0.348
41,0.92,0.303
42,0.891,0.242
43,0.861,0.258
44,0.832,0.189
45,0.832,0.189
46,0.788,0.174
47,0.745,0.106
48,0.679,0.129
49,0.606,0.083
50,0.54,0.038
51,0.46,0.008
52,0.38,0.008
53,0.307,0.0
54,0.241,0.015
55,0.182,0.023
56,0.139,0.038
57,0.102,0.068
58,0.066,0.098
59,0.044,0.144
60,0.029,0.205
61,0.007,0.25
62,0.0,0.311
63,0.007,0.386
64,0.015,0.447
65,0.029,0.515
66,0.044,0.606
67,0.044,0.659
68,0.058,0.72
69,0.073,0.758
70,0.102,0.811
71,0.139,0.841
72,0.139,0.841
73,0.19,0.879
74,0.234,0.894
75,0.292,0.917
76,0.365,0.886
77,0.409,0.886
78,0.453,0.879
79,0.453,0.879
80,0.489,0.841
81,0.518,0.826
82,0.518,0.788
83,0.526,0.758
84,0.518,0.682
85,0.504,0.652
86,0.496,0.591
87,0.511,0.583
88,0.511,0.515
89,0.511,0.485
90,0.511,0.424
91,0.511,0.424
92,0.511,0.348
93,0.504,0.379
94,0.526,0.318
95,0.518,0.288
96,0.533,0.265
97,0.533,0.273
98,0.533,0.227
99,0.533,0.22
