Frame,x,y
0,0.5,0.895
1,0.5,0.911
2,0.5,0.911
3,0.5,0.911
4,0.5,0.911
5,0.5,0.927
6,0.494,0.919
7,0.5,0.927
8,0.5,0.944
9,0.5,0.952
10,0.5,0.952
11,0.5,0.944
12,0.506,0.96
13,0.506,0.96
14,0.512,0.96
15,0.525,0.976
16,0.531,0.968
17,0.544,0.984
18,0.55,0.976
19,0.562,0.984
20,0.581,0.984
21,0.6,0.992
22,0.619,0.992
23,0.619,0.992
24,0.669,0.992
25,0.7,0.992
26,0.725,1.0
27,0.762,1.0
28,0.788,0.968
29,0.812,0.944
30,0.812,0.944
31,0.838,0.919
32,0.856,0.903
33,0.875,0.855
34,0.9,0.831
35,0.919,0.798
36,0.944,0.766
37,0.956,0.71
38,0.969,0.669
39,0.975,0.629
40,0.988,0.565
41,1.0,0.532
42,0.994,0.508
43,0.975,0.444
44,0.962,0.387
45,0.95,0.371
46,0.925,0.306
47,0.912,0.306
48,0.888,0.202
49,0.869,0.169
50,0.838,0.113
51,0.8,0.048
52,0.756,0.024
53,0.725,0.016
54,0.675,0.0
55,0.631,0.0
56,0.575,0.0
57,0.575,0.0
58,0.531,0.016
59,0.481,0.024
60,0.375,0.065
61,0.319,0.097
62,0.262,0.129
63,0.219,0.145
64,0.219,0.145
65,0.181,0.177
66,0.138,0.202
67,0.1,0.242
68,0.069,0.282
69,0.044,0.339
70,0.019,0.395
71,0.006,0.452
72,0.0,0.5
73,0.006,0.54
74,0.019,0.589
75,0.044,0.653
76,0.075,0.702
77,0.106,0.766
78,0.138,0.815
79,0.181,0.847
80,0.212,0.879
81,0.231,0.895
82,0.262,0.903
83,0.294,0.895
84,0.319,0.887
85,0.344,0.879
86,0.375,0.855
87,0.4,0.839
88,0.425,0.806
89,0.444,0.766
90,0.456,0.742
91,0.462,0.694
92,0.462,0.694
93,0.462,0.661
94,0.462,0.637
95,0.462,0.613
96,0.469,0.589
97,0.481,0.54
98,0.488,0.516
99,0.488,0.516
