Frame,x,y
0,0.992,0.942
1,0.992,0.942
2,1.0,0.95
3,0.992,0.95
4,0.985,0.933
5,0.977,0.958
6,0.977,1.0
7,0.97,0.992
8,0.962,0.933
9,0.962,0.933
10,0.947,0.975
11,0.932,0.958
12,0.917,0.942
13,0.887,0.95
14,0.782,0.95
15,0.707,0.933
16,0.707,0.933
17,0.617,0.925
18,0.526,0.925
19,0.444,0.908
20,0.391,0.917
21,0.353,0.925
22,0.323,0.933
23,0.293,0.933
24,0.263,0.933
25,0.233,0.942
26,0.195,0.942
27,0.158,0.958
28,0.105,0.967
29,0.068,0.967
30,0.038,0.967
31,0.038,0.958
32,0.053,0.95
33,0.075,0.942
34,0.105,0.933
35,0.12,0.917
36,0.158,0.883
37,0.158,0.883
38,0.211,0.8
39,0.263,0.742
40,0.301,0.683
41,0.338,0.625
42,0.368,0.583
43,0.414,0.542
44,0.414,0.542
45,0.444,0.5
46,0.489,0.458
47,0.541,0.417
48,0.594,0.358
49,0.647,0.308
50,0.744,0.225
51,0.744,0.225
52,0.782,0.175
53,0.812,0.158
54,0.835,0.133
55,0.857,0.108
56,0.872,0.1
57,0.902,0.075
58,0.925,0.05
59,0.94,0.042
60,0.955,0.017
61,0.97,0.017
62,0.985,0.008
63,0.977,0.008
64,0.977,0.0
65,0.962,0.0
66,0.94,0.025
67,0.925,0.017
68,0.902,0.017
69,0.88,0.025
70,0.842,0.025
71,0.805,0.033
72,0.805,0.033
73,0.759,0.033
74,0.669,0.05
75,0.624,0.075
76,0.571,0.067
77,0.526,0.067
78,0.526,0.067
79,0.474,0.058
80,0.429,0.058
81,0.391,0.067
82,0.346,0.067
83,0.293,0.075
84,0.241,0.067
85,0.195,0.075
86,0.15,0.083
87,0.113,0.083
88,0.075,0.075
89,0.053,0.083
90,0.03,0.083
91,0.015,0.083
92,0.015,0.083
93,0.008,0.083
94,0.0,0.075
95,0.0,0.083
96,0.0,0.083
97,0.008,0.083
98,0.0,0.075
99,0.008,0.075
