Frame,x,y
0,0.984,0.919
1,1.0,0.868
2,0.984,0.89
3,0.989,0.86
4,0.984,0.868
5,0.984,0.897
6,0.984,0.897
7,0.962,0.978
8,0.978,0.853
9,0.951,0.963
10,0.946,1.0
11,0.957,0.882
12,0.957,0.882
13,0.914,0.89
14,0.908,0.89
15,0.865,0.963
16,0.816,0.963
17,0.762,0.882
18,0.703,0.89
19,0.649,0.897
20,0.595,0.875
21,0.546,0.897
22,0.503,0.897
23,0.465,0.882
24,0.438,0.897
25,0.411,0.912
26,0.373,0.89
27,0.335,0.897
28,0.303,0.904
29,0.265,0.89
30,0.232,0.89
31,0.205,0.89
32,0.173,0.882
33,0.173,0.882
34,0.114,0.875
35,0.081,0.868
36,0.054,0.86
37,0.038,0.86
38,0.038,0.86
39,0.038,0.86
40,0.038,0.86
41,0.043,0.86
42,0.049,0.838
43,0.081,0.816
44,0.114,0.801
45,0.151,0.779
46,0.2,0.757
47,0.238,0.728
48,0.281,0.706
49,0.314,0.699
50,0.341,0.647
51,0.373,0.625
52,0.416,0.581
53,0.449,0.544
54,0.476,0.537
55,0.519,0.5
56,0.541,0.507
57,0.568,0.507
58,0.6,0.485
59,0.627,0.449
60,0.643,0.404
61,0.659,0.39
62,0.686,0.382
63,0.708,0.301
64,0.724,0.324
65,0.746,0.316
66,0.768,0.294
67,0.778,0.265
68,0.778,0.265
69,0.805,0.257
70,0.816,0.243
71,0.849,0.184
72,0.859,0.132
73,0.886,0.132
74,0.886,0.132
75,0.881,0.14
76,0.892,0.125
77,0.892,0.125
78,0.886,0.088
79,0.876,0.088
80,0.854,0.103
81,0.832,0.081
82,0.789,0.096
83,0.741,0.103
84,0.692,0.096
85,0.649,0.11
86,0.6,0.044
87,0.541,0.081
88,0.486,0.059
89,0.443,0.022
90,0.384,0.066
91,0.341,0.059
92,0.297,0.044
93,0.259,0.044
94,0.211,0.015
95,0.168,0.022
96,0.124,0.022
97,0.076,0.007
98,0.043,0.007
99,0.0,0.0
