Frame,x,y
0,0.02,1.0
1,0.02,1.0
2,0.0,0.97
3,0.0,0.97
4,0.015,0.919
5,0.015,0.919
6,0.025,0.868
7,0.025,0.868
8,0.015,0.804
9,0.015,0.804
10,0.02,0.736
11,0.02,0.736
12,0.025,0.669
13,0.025,0.669
14,0.03,0.608
15,0.03,0.608
16,0.036,0.547
17,0.036,0.547
18,0.051,0.483
19,0.051,0.483
20,0.071,0.416
21,0.071,0.416
22,0.107,0.348
23,0.107,0.348
24,0.147,0.287
25,0.147,0.287
26,0.198,0.23
27,0.198,0.23
28,0.269,0.179
29,0.269,0.179
30,0.33,0.125
31,0.33,0.125
32,0.421,0.078
33,0.421,0.078
34,0.487,0.051
35,0.487,0.051
36,0.574,0.03
37,0.574,0.03
38,0.655,0.014
39,0.655,0.014
40,0.731,0.0
41,0.731,0.0
42,0.807,0.0
43,0.807,0.0
44,0.868,0.014
45,0.868,0.014
46,0.919,0.034
47,0.919,0.034
48,0.954,0.051
49,0.954,0.051
50,0.985,0.078
51,0.985,0.078
52,0.995,0.105
53,0.995,0.105
54,1.0,0.139
55,1.0,0.139
56,0.99,0.179
57,0.99,0.179
58,0.964,0.216
59,0.964,0.216
60,0.919,0.26
61,0.919,0.26
62,0.853,0.307
63,0.853,0.307
64,0.761,0.348
65,0.761,0.348
66,0.66,0.382
67,0.66,0.382
68,0.543,0.412
69,0.543,0.412
70,0.462,0.432
71,0.462,0.432
72,0.381,0.446
73,0.381,0.446
74,0.299,0.463
75,0.299,0.463
76,0.244,0.476
77,0.244,0.476
78,0.208,0.473
79,0.208,0.473
80,0.173,0.473
81,0.173,0.473
82,0.152,0.476
83,0.152,0.476
84,0.142,0.47
85,0.142,0.47
86,0.142,0.466
87,0.142,0.466
88,0.137,0.463
89,0.137,0.463
90,0.127,0.456
91,0.127,0.456
92,0.122,0.453
93,0.122,0.453
94,0.117,0.446
95,0.117,0.446
96,0.117,0.443
97,0.117,0.443
98,0.107,0.439
99,0.107,0.439
