Frame,x,y
0,0.964,0.955
1,0.964,0.947
2,0.968,0.947
3,0.968,0.947
4,0.971,0.947
5,0.971,0.947
6,0.975,0.947
7,0.982,0.947
8,0.978,0.947
9,0.982,0.947
10,0.986,0.947
11,0.989,0.955
12,0.993,0.947
13,0.996,0.955
14,0.996,0.955
15,0.996,0.955
16,0.996,0.947
17,1.0,0.955
18,0.996,0.947
19,0.993,0.955
20,0.993,0.947
21,0.986,0.955
22,0.978,0.962
23,0.968,0.962
24,0.953,0.962
25,0.935,0.955
26,0.899,0.947
27,0.874,0.947
28,0.845,0.955
29,0.82,0.955
30,0.788,0.947
31,0.763,0.955
32,0.745,0.97
33,0.745,0.97
34,0.73,0.962
35,0.694,0.97
36,0.676,0.977
37,0.658,0.985
38,0.644,0.985
39,0.644,0.985
40,0.619,0.985
41,0.601,1.0
42,0.59,0.992
43,0.572,1.0
44,0.554,0.992
45,0.536,0.985
46,0.511,0.97
47,0.478,0.955
48,0.442,0.932
49,0.421,0.91
50,0.403,0.88
51,0.385,0.88
52,0.367,0.865
53,0.345,0.842
54,0.324,0.82
55,0.306,0.805
56,0.288,0.797
57,0.273,0.782
58,0.266,0.752
59,0.248,0.737
60,0.23,0.722
61,0.219,0.699
62,0.205,0.684
63,0.187,0.662
64,0.18,0.639
65,0.173,0.609
66,0.165,0.594
67,0.165,0.594
68,0.158,0.571
69,0.158,0.549
70,0.155,0.549
71,0.147,0.526
72,0.133,0.489
73,0.126,0.474
74,0.126,0.474
75,0.115,0.451
76,0.112,0.429
77,0.104,0.414
78,0.101,0.398
79,0.097,0.383
80,0.094,0.346
81,0.097,0.331
82,0.09,0.308
83,0.079,0.293
84,0.076,0.271
85,0.076,0.248
86,0.065,0.241
87,0.05,0.241
88,0.047,0.226
89,0.047,0.203
90,0.04,0.188
91,0.029,0.165
92,0.025,0.158
93,0.029,0.135
94,0.025,0.12
95,0.014,0.105
96,0.011,0.09
97,0.007,0.06
98,0.004,0.038
99,0.0,0.0
