Frame,x,y
0,1.0,0.899
1,0.996,0.903
2,0.996,0.903
3,0.996,0.913
4,1.0,0.908
5,1.0,0.908
6,0.996,0.908
7,0.996,0.908
8,0.996,0.913
9,0.989,0.913
10,0.981,0.913
11,0.977,0.913
12,0.973,0.918
13,0.962,0.923
14,0.947,0.928
15,0.927,0.937
16,0.908,0.942
17,0.889,0.947
18,0.87,0.961
19,0.855,0.971
20,0.844,0.981
21,0.828,0.981
22,0.798,0.981
23,0.748,0.976
24,0.71,0.976
25,0.691,0.981
26,0.691,0.981
27,0.66,0.976
28,0.622,0.976
29,0.588,0.976
30,0.565,0.976
31,0.542,0.976
32,0.523,0.981
33,0.523,0.981
34,0.5,0.981
35,0.477,0.986
36,0.45,0.99
37,0.427,0.995
38,0.401,1.0
39,0.366,1.0
40,0.336,0.995
41,0.309,1.0
42,0.294,1.0
43,0.279,0.99
44,0.256,0.971
45,0.225,0.957
46,0.195,0.937
47,0.176,0.913
48,0.16,0.879
49,0.141,0.85
50,0.118,0.816
51,0.095,0.787
52,0.08,0.768
53,0.069,0.739
54,0.057,0.71
55,0.042,0.676
56,0.034,0.657
57,0.027,0.628
58,0.019,0.604
59,0.015,0.58
60,0.015,0.58
61,0.011,0.556
62,0.008,0.527
63,0.004,0.478
64,0.0,0.459
65,0.0,0.44
66,0.004,0.415
67,0.004,0.415
68,0.004,0.401
69,0.004,0.386
70,0.008,0.362
71,0.011,0.343
72,0.008,0.324
73,0.015,0.28
74,0.019,0.237
75,0.027,0.198
76,0.027,0.164
77,0.031,0.135
78,0.034,0.111
79,0.038,0.092
80,0.042,0.072
81,0.034,0.053
82,0.031,0.039
83,0.031,0.034
84,0.034,0.024
85,0.034,0.019
86,0.038,0.019
87,0.031,0.0
88,0.034,0.019
89,0.038,0.024
90,0.034,0.024
91,0.031,0.024
92,0.031,0.029
93,0.027,0.039
94,0.027,0.029
95,0.027,0.029
96,0.027,0.039
97,0.031,0.043
98,0.027,0.039
99,0.027,0.039
