Frame,x,y
0,0.996,0.934
1,0.996,0.94
2,0.996,0.934
3,0.996,0.94
4,0.996,0.946
5,0.996,0.946
6,0.996,0.94
7,0.996,0.934
8,0.993,0.952
9,0.996,0.94
10,0.993,0.94
11,0.993,0.94
12,0.996,0.94
13,0.996,0.94
14,0.996,0.94
15,1.0,0.94
16,1.0,0.946
17,1.0,0.94
18,0.996,0.952
19,0.993,0.946
20,0.985,0.958
21,0.978,0.958
22,0.967,0.958
23,0.945,0.97
24,0.912,0.982
25,0.883,0.994
26,0.865,1.0
27,0.847,1.0
28,0.818,0.994
29,0.788,0.988
30,0.766,0.982
31,0.745,0.982
32,0.73,0.988
33,0.73,0.988
34,0.719,0.982
35,0.708,0.982
36,0.664,0.982
37,0.642,0.982
38,0.624,0.988
39,0.602,0.994
40,0.602,0.994
41,0.584,1.0
42,0.566,1.0
43,0.544,0.994
44,0.522,0.988
45,0.504,0.982
46,0.489,0.982
47,0.467,0.982
48,0.445,0.976
49,0.416,0.976
50,0.387,0.958
51,0.354,0.934
52,0.321,0.904
53,0.288,0.868
54,0.255,0.844
55,0.223,0.832
56,0.201,0.814
57,0.186,0.796
58,0.164,0.766
59,0.142,0.737
60,0.131,0.713
61,0.117,0.671
62,0.106,0.653
63,0.091,0.617
64,0.08,0.593
65,0.073,0.569
66,0.062,0.551
67,0.062,0.551
68,0.055,0.509
69,0.051,0.479
70,0.047,0.461
71,0.044,0.425
72,0.029,0.365
73,0.022,0.335
74,0.022,0.335
75,0.015,0.317
76,0.007,0.287
77,0.004,0.257
78,0.007,0.228
79,0.011,0.204
80,0.015,0.174
81,0.015,0.156
82,0.015,0.132
83,0.015,0.114
84,0.011,0.084
85,0.018,0.078
86,0.015,0.054
87,0.015,0.042
88,0.004,0.018
89,0.007,0.042
90,0.011,0.042
91,0.011,0.03
92,0.015,0.024
93,0.018,0.006
94,0.015,0.018
95,0.015,0.018
96,0.015,0.006
97,0.015,0.012
98,0.0,0.0
99,0.015,0.024
