Frame,x,y
0,0.511,0.201
1,0.516,0.197
2,0.516,0.197
3,0.516,0.193
4,0.516,0.193
5,0.511,0.185
6,0.502,0.177
7,0.48,0.177
8,0.449,0.169
9,0.413,0.165
10,0.373,0.169
11,0.324,0.181
12,0.276,0.189
13,0.231,0.205
14,0.187,0.217
15,0.156,0.237
16,0.129,0.265
17,0.107,0.297
18,0.084,0.337
19,0.058,0.39
20,0.022,0.458
21,0.009,0.518
22,0.004,0.582
23,0.0,0.655
24,0.018,0.727
25,0.036,0.787
26,0.036,0.787
27,0.107,0.847
28,0.164,0.871
29,0.227,0.892
30,0.302,0.92
31,0.378,0.96
32,0.378,0.96
33,0.444,0.988
34,0.524,1.0
35,0.618,0.996
36,0.693,0.988
37,0.76,0.964
38,0.818,0.924
39,0.858,0.876
40,0.889,0.823
41,0.933,0.747
42,0.978,0.667
43,1.0,0.582
44,1.0,0.494
45,0.991,0.418
46,0.969,0.357
47,0.929,0.305
48,0.889,0.253
49,0.844,0.205
50,0.787,0.165
51,0.738,0.149
52,0.698,0.137
53,0.658,0.129
54,0.613,0.133
55,0.582,0.133
56,0.564,0.141
57,0.556,0.161
58,0.547,0.189
59,0.538,0.209
60,0.538,0.209
61,0.529,0.233
62,0.516,0.241
63,0.52,0.245
64,0.538,0.233
65,0.564,0.213
66,0.609,0.169
67,0.609,0.169
68,0.653,0.124
69,0.689,0.096
70,0.729,0.064
71,0.76,0.024
72,0.791,0.004
73,0.809,0.0
74,0.791,0.024
75,0.747,0.044
76,0.702,0.064
77,0.667,0.08
78,0.636,0.108
79,0.6,0.141
80,0.556,0.177
81,0.511,0.205
82,0.489,0.217
83,0.48,0.229
84,0.493,0.233
85,0.511,0.245
86,0.533,0.265
87,0.564,0.285
88,0.582,0.321
89,0.6,0.353
90,0.618,0.373
91,0.644,0.41
92,0.667,0.446
93,0.689,0.466
94,0.689,0.466
95,0.689,0.478
96,0.68,0.482
97,0.676,0.486
98,0.68,0.49
99,0.676,0.47
