Frame,x,y
0,0.12,0.0
1,0.125,0.005
2,0.115,0.011
3,0.12,0.011
4,0.12,0.016
5,0.12,0.016
6,0.115,0.016
7,0.115,0.022
8,0.111,0.032
9,0.111,0.032
10,0.111,0.027
11,0.115,0.027
12,0.12,0.027
13,0.12,0.032
14,0.125,0.038
15,0.144,0.043
16,0.168,0.038
17,0.168,0.038
18,0.192,0.043
19,0.216,0.048
20,0.236,0.048
21,0.269,0.054
22,0.346,0.048
23,0.346,0.048
24,0.385,0.054
25,0.413,0.059
26,0.438,0.048
27,0.466,0.048
28,0.5,0.038
29,0.534,0.038
30,0.567,0.032
31,0.606,0.032
32,0.639,0.027
33,0.668,0.022
34,0.692,0.016
35,0.721,0.016
36,0.75,0.016
37,0.774,0.016
38,0.793,0.016
39,0.808,0.016
40,0.812,0.011
41,0.808,0.016
42,0.812,0.016
43,0.798,0.022
44,0.798,0.022
45,0.788,0.038
46,0.74,0.091
47,0.712,0.108
48,0.673,0.151
49,0.62,0.204
50,0.562,0.253
51,0.562,0.253
52,0.514,0.301
53,0.471,0.355
54,0.418,0.409
55,0.375,0.5
56,0.308,0.586
57,0.24,0.677
58,0.173,0.758
59,0.13,0.812
60,0.091,0.866
61,0.062,0.898
62,0.048,0.919
63,0.034,0.952
64,0.01,0.973
65,0.0,0.978
66,0.01,0.978
67,0.029,0.962
68,0.058,0.952
69,0.087,0.941
70,0.115,0.925
71,0.149,0.914
72,0.188,0.909
73,0.221,0.909
74,0.264,0.909
75,0.308,0.898
76,0.37,0.903
77,0.428,0.909
78,0.476,0.914
79,0.476,0.914
80,0.514,0.914
81,0.558,0.914
82,0.673,0.941
83,0.726,0.962
84,0.76,0.962
85,0.76,0.962
86,0.793,0.973
87,0.832,0.984
88,0.875,0.995
89,0.909,1.0
90,0.933,0.995
91,0.947,0.995
92,0.952,1.0
93,0.962,0.995
94,0.976,0.989
95,0.986,0.984
96,0.986,0.989
97,0.971,0.984
98,0.986,0.984
99,1.0,0.968
