Frame,x,y
0,0.0,0.051
1,0.0,0.051
2,0.0,0.051
3,0.0,0.051
4,0.0,0.051
5,0.0,0.041
6,0.0,0.051
7,0.0,0.056
8,0.0,0.051
9,0.004,0.051
10,0.004,0.051
11,0.007,0.056
12,0.014,0.056
13,0.025,0.051
14,0.043,0.046
15,0.057,0.046
16,0.082,0.041
17,0.111,0.036
18,0.143,0.03
19,0.176,0.025
20,0.208,0.02
21,0.244,0.02
22,0.244,0.02
23,0.276,0.015
24,0.312,0.005
25,0.348,0.0
26,0.384,0.005
27,0.437,0.01
28,0.437,0.01
29,0.455,0.01
30,0.484,0.02
31,0.513,0.03
32,0.534,0.03
33,0.559,0.036
34,0.577,0.041
35,0.599,0.041
36,0.62,0.041
37,0.642,0.041
38,0.674,0.051
39,0.706,0.046
40,0.731,0.046
41,0.749,0.051
42,0.76,0.056
43,0.76,0.061
44,0.756,0.071
45,0.742,0.096
46,0.724,0.132
47,0.703,0.173
48,0.677,0.213
49,0.677,0.213
50,0.616,0.294
51,0.573,0.34
52,0.523,0.381
53,0.473,0.437
54,0.423,0.472
55,0.376,0.533
56,0.376,0.533
57,0.333,0.584
58,0.29,0.635
59,0.251,0.695
60,0.215,0.746
61,0.186,0.792
62,0.161,0.838
63,0.136,0.868
64,0.111,0.898
65,0.082,0.919
66,0.061,0.944
67,0.039,0.964
68,0.018,0.98
69,0.014,0.99
70,0.025,0.995
71,0.036,1.0
72,0.05,1.0
73,0.079,0.995
74,0.108,0.99
75,0.136,0.995
76,0.168,1.0
77,0.208,1.0
78,0.247,1.0
79,0.283,0.995
80,0.323,0.99
81,0.362,0.985
82,0.401,0.98
83,0.437,0.98
84,0.437,0.98
85,0.47,0.975
86,0.505,0.975
87,0.584,0.99
88,0.62,0.99
89,0.659,0.995
90,0.692,0.99
91,0.692,0.99
92,0.728,0.99
93,0.767,0.975
94,0.817,0.975
95,0.864,0.975
96,0.903,0.975
97,0.943,0.98
98,0.975,0.98
99,1.0,0.975
