Frame,x,y
0,0.022,0.006
1,0.022,0.006
2,0.022,0.006
3,0.027,0.013
4,0.027,0.006
5,0.027,0.006
6,0.022,0.006
7,0.022,0.006
8,0.016,0.006
9,0.016,0.013
10,0.016,0.006
11,0.016,0.013
12,0.016,0.006
13,0.022,0.006
14,0.027,0.006
15,0.038,0.006
16,0.055,0.006
17,0.071,0.0
18,0.093,0.0
19,0.115,0.006
20,0.148,0.013
21,0.198,0.006
22,0.247,0.006
23,0.275,0.013
24,0.302,0.013
25,0.346,0.019
26,0.346,0.019
27,0.39,0.013
28,0.445,0.019
29,0.489,0.026
30,0.522,0.026
31,0.604,0.026
32,0.604,0.026
33,0.648,0.032
34,0.687,0.039
35,0.714,0.045
36,0.747,0.045
37,0.78,0.039
38,0.802,0.045
39,0.813,0.045
40,0.824,0.045
41,0.83,0.052
42,0.83,0.052
43,0.813,0.065
44,0.791,0.077
45,0.769,0.097
46,0.742,0.116
47,0.692,0.155
48,0.626,0.213
49,0.566,0.265
50,0.527,0.323
51,0.5,0.368
52,0.467,0.426
53,0.467,0.426
54,0.423,0.477
55,0.33,0.606
56,0.297,0.652
57,0.264,0.69
58,0.231,0.729
59,0.192,0.774
60,0.192,0.774
61,0.159,0.819
62,0.126,0.858
63,0.088,0.884
64,0.049,0.923
65,0.016,0.961
66,0.005,0.987
67,0.0,0.994
68,0.005,1.0
69,0.005,0.994
70,0.022,0.987
71,0.044,0.981
72,0.066,0.968
73,0.11,0.955
74,0.159,0.948
75,0.214,0.942
76,0.264,0.935
77,0.313,0.929
78,0.363,0.929
79,0.412,0.929
80,0.462,0.942
81,0.516,0.935
82,0.566,0.942
83,0.604,0.948
84,0.643,0.961
85,0.67,0.968
86,0.703,0.974
87,0.742,0.974
88,0.742,0.974
89,0.78,0.981
90,0.813,0.981
91,0.89,0.981
92,0.929,0.968
93,0.951,0.981
94,0.973,0.987
95,0.973,0.987
96,0.984,0.981
97,0.995,0.974
98,1.0,0.981
99,1.0,0.974
