Frame,x,y
1,0.297,0.919
2,0.304,0.926
3,0.321,0.941
4,0.345,0.959
5,0.358,0.969
6,0.355,0.968
7,0.362,0.97
8,0.398,0.984
9,0.469,0.995
10,0.548,0.999
11,0.579,1.0
12,0.57,1.0
13,0.597,0.995
14,0.674,0.975
15,0.76,0.934
16,0.82,0.892
17,0.831,0.885
18,0.826,0.888
19,0.852,0.859
20,0.901,0.792
21,0.945,0.707
22,0.969,0.655
23,0.969,0.663
24,0.969,0.648
25,0.985,0.558
26,1.0,0.495
27,1.0,0.504
28,0.991,0.486
29,0.956,0.396
30,0.934,0.302
31,0.92,0.228
32,0.87,0.15
33,0.804,0.08
34,0.785,0.059
35,0.793,0.067
36,0.749,0.044
37,0.648,0.004
38,0.527,0.0
39,0.446,0.004
40,0.447,0.0
41,0.442,0.004
42,0.349,0.036
43,0.265,0.062
44,0.268,0.06
45,0.262,0.065
46,0.184,0.105
47,0.095,0.173
48,0.045,0.246
49,0.03,0.275
50,0.033,0.267
51,0.026,0.291
52,0.006,0.36
53,0.0,0.424
54,0.012,0.471
55,0.054,0.522
56,0.093,0.563
57,0.093,0.568
58,0.093,0.565
59,0.152,0.598
60,0.215,0.636
61,0.217,0.64
62,0.218,0.637
63,0.281,0.655
64,0.373,0.674
65,0.447,0.675
66,0.479,0.672
67,0.473,0.673
68,0.488,0.67
69,0.544,0.653
70,0.602,0.616
71,0.636,0.574
72,0.644,0.56
73,0.641,0.566
74,0.653,0.544
75,0.673,0.49
76,0.675,0.428
77,0.666,0.384
78,0.667,0.378
79,0.666,0.382
80,0.643,0.358
81,0.598,0.323
82,0.544,0.303
83,0.512,0.296
84,0.516,0.296
85,0.509,0.296
86,0.463,0.296
87,0.412,0.311
88,0.378,0.338
89,0.365,0.349
90,0.367,0.344
91,0.368,0.363
92,0.364,0.403
93,0.359,0.417
94,0.36,0.411
95,0.373,0.43
96,0.395,0.467
97,0.42,0.495
98,0.446,0.509
99,0.476,0.518
100,0.497,0.522
