Frame,x,y
0,0.378,0.948
1,0.372,0.953
2,0.378,0.953
3,0.389,0.959
4,0.389,0.964
5,0.394,0.974
6,0.394,0.979
7,0.406,0.984
8,0.422,0.984
9,0.45,0.99
10,0.478,1.0
11,0.5,1.0
12,0.539,1.0
13,0.578,0.995
14,0.611,0.984
15,0.644,0.974
16,0.678,0.964
17,0.728,0.933
18,0.778,0.891
19,0.828,0.845
20,0.861,0.798
21,0.889,0.736
22,0.933,0.642
23,0.933,0.642
24,0.972,0.565
25,0.994,0.477
26,1.0,0.347
27,0.989,0.29
28,0.972,0.238
29,0.972,0.238
30,0.939,0.181
31,0.9,0.135
32,0.844,0.093
33,0.789,0.052
34,0.744,0.021
35,0.694,0.005
36,0.633,0.0
37,0.561,0.0
38,0.489,0.016
39,0.433,0.026
40,0.378,0.041
41,0.3,0.052
42,0.239,0.088
43,0.183,0.135
44,0.111,0.176
45,0.061,0.223
46,0.028,0.285
47,0.0,0.352
48,0.0,0.404
49,0.011,0.461
50,0.033,0.523
51,0.067,0.58
52,0.094,0.632
53,0.117,0.689
54,0.15,0.731
55,0.189,0.751
56,0.222,0.756
57,0.222,0.756
58,0.25,0.762
59,0.3,0.777
60,0.356,0.788
61,0.406,0.782
62,0.511,0.762
63,0.539,0.741
64,0.539,0.741
65,0.572,0.72
66,0.606,0.694
67,0.633,0.653
68,0.667,0.617
69,0.689,0.591
70,0.706,0.56
71,0.711,0.528
72,0.7,0.492
73,0.672,0.446
74,0.65,0.394
75,0.644,0.363
76,0.617,0.326
77,0.583,0.301
78,0.533,0.285
79,0.483,0.28
80,0.444,0.28
81,0.417,0.285
82,0.383,0.306
83,0.356,0.321
84,0.322,0.352
85,0.322,0.352
86,0.278,0.42
87,0.267,0.461
88,0.256,0.503
89,0.256,0.544
90,0.261,0.58
91,0.278,0.606
92,0.278,0.606
93,0.306,0.627
94,0.333,0.637
95,0.356,0.648
96,0.383,0.658
97,0.4,0.668
98,0.411,0.668
99,0.422,0.674
