Frame,x,y
0,0.486,0.919
1,0.481,0.919
2,0.481,0.929
3,0.476,0.929
4,0.481,0.929
5,0.476,0.933
6,0.481,0.943
7,0.481,0.957
8,0.486,0.967
9,0.5,0.967
10,0.519,0.976
11,0.543,0.986
12,0.572,1.0
13,0.601,1.0
14,0.63,0.995
15,0.673,0.986
16,0.721,0.967
17,0.721,0.967
18,0.774,0.943
19,0.851,0.862
20,0.889,0.824
21,0.923,0.771
22,0.957,0.719
23,0.986,0.657
24,0.986,0.657
25,0.995,0.576
26,1.0,0.5
27,0.995,0.419
28,0.986,0.343
29,0.962,0.271
30,0.923,0.205
31,0.885,0.143
32,0.841,0.086
33,0.803,0.048
34,0.74,0.024
35,0.663,0.005
36,0.596,0.0
37,0.543,0.005
38,0.471,0.024
39,0.385,0.062
40,0.303,0.095
41,0.226,0.119
42,0.163,0.152
43,0.13,0.205
44,0.101,0.262
45,0.062,0.324
46,0.034,0.39
47,0.01,0.452
48,0.0,0.524
49,0.014,0.586
50,0.053,0.643
51,0.101,0.681
52,0.101,0.681
53,0.149,0.714
54,0.197,0.743
55,0.317,0.752
56,0.404,0.748
57,0.5,0.748
58,0.5,0.748
59,0.567,0.733
60,0.625,0.724
61,0.673,0.7
62,0.726,0.676
63,0.764,0.619
64,0.784,0.557
65,0.793,0.495
66,0.764,0.41
67,0.712,0.329
68,0.644,0.262
69,0.582,0.214
70,0.524,0.19
71,0.476,0.19
72,0.433,0.2
73,0.394,0.219
74,0.356,0.238
75,0.317,0.262
76,0.293,0.305
77,0.279,0.343
78,0.274,0.381
79,0.269,0.419
80,0.274,0.467
81,0.284,0.505
82,0.293,0.538
83,0.308,0.567
84,0.327,0.59
85,0.341,0.6
86,0.341,0.6
87,0.361,0.605
88,0.375,0.614
89,0.389,0.619
90,0.409,0.614
91,0.452,0.614
92,0.462,0.61
93,0.462,0.61
94,0.466,0.6
95,0.481,0.595
96,0.49,0.595
97,0.49,0.595
98,0.486,0.59
99,0.49,0.59
