Frame,x,y
0,0.553,0.995
1,0.553,1.0
2,0.558,1.0
3,0.562,0.995
4,0.577,0.995
5,0.596,0.989
6,0.615,0.978
7,0.63,0.962
8,0.654,0.945
9,0.688,0.923
10,0.721,0.896
11,0.721,0.896
12,0.75,0.863
13,0.784,0.825
14,0.808,0.781
15,0.875,0.678
16,0.913,0.623
17,0.942,0.568
18,0.942,0.568
19,0.966,0.503
20,0.981,0.437
21,1.0,0.388
22,1.0,0.328
23,0.986,0.262
24,0.952,0.202
25,0.923,0.148
26,0.894,0.093
27,0.846,0.055
28,0.793,0.038
29,0.74,0.016
30,0.697,0.005
31,0.635,0.0
32,0.529,0.005
33,0.466,0.022
34,0.423,0.038
35,0.365,0.06
36,0.298,0.093
37,0.212,0.131
38,0.13,0.186
39,0.077,0.23
40,0.034,0.279
41,0.014,0.339
42,0.005,0.393
43,0.0,0.492
44,0.01,0.579
45,0.053,0.65
46,0.053,0.65
47,0.115,0.71
48,0.173,0.749
49,0.221,0.798
50,0.279,0.82
51,0.394,0.836
52,0.452,0.82
53,0.452,0.82
54,0.505,0.809
55,0.558,0.792
56,0.606,0.76
57,0.668,0.727
58,0.716,0.683
59,0.745,0.656
60,0.779,0.623
61,0.793,0.59
62,0.779,0.552
63,0.74,0.514
64,0.726,0.47
65,0.702,0.432
66,0.668,0.41
67,0.625,0.383
68,0.591,0.372
69,0.553,0.372
70,0.514,0.377
71,0.481,0.388
72,0.447,0.404
73,0.413,0.432
74,0.413,0.432
75,0.361,0.519
76,0.351,0.557
77,0.361,0.579
78,0.385,0.59
79,0.423,0.59
80,0.423,0.59
81,0.462,0.596
82,0.495,0.601
83,0.519,0.596
84,0.553,0.596
85,0.577,0.596
86,0.582,0.596
87,0.582,0.596
88,0.587,0.59
89,0.596,0.585
90,0.596,0.579
91,0.591,0.585
92,0.582,0.585
93,0.582,0.585
94,0.587,0.574
95,0.591,0.563
96,0.582,0.568
97,0.562,0.579
98,0.567,0.574
99,0.582,0.563
