Frame,x,y
0,0.959,0.438
1,0.962,0.441
2,0.966,0.444
3,0.966,0.438
4,0.966,0.448
5,0.966,0.454
6,0.969,0.451
7,0.973,0.448
8,0.976,0.441
9,0.979,0.438
10,0.983,0.428
11,0.99,0.415
12,0.993,0.392
13,0.997,0.363
14,1.0,0.324
15,1.0,0.288
16,0.993,0.248
17,0.983,0.212
18,0.966,0.173
19,0.945,0.137
20,0.921,0.108
21,0.89,0.082
22,0.863,0.056
23,0.832,0.036
24,0.801,0.02
25,0.763,0.007
26,0.763,0.007
27,0.725,0.0
28,0.68,0.0
29,0.591,0.007
30,0.543,0.016
31,0.498,0.033
32,0.498,0.033
33,0.46,0.042
34,0.43,0.059
35,0.388,0.085
36,0.34,0.121
37,0.299,0.16
38,0.247,0.203
39,0.179,0.258
40,0.117,0.317
41,0.065,0.373
42,0.027,0.418
43,0.014,0.471
44,0.0,0.529
45,0.007,0.598
46,0.031,0.673
47,0.058,0.739
48,0.096,0.791
49,0.148,0.843
50,0.206,0.889
51,0.261,0.922
52,0.316,0.951
53,0.371,0.977
54,0.423,0.99
55,0.478,1.0
56,0.526,0.99
57,0.581,0.974
58,0.625,0.954
59,0.674,0.938
60,0.674,0.938
61,0.722,0.905
62,0.766,0.863
63,0.801,0.807
64,0.835,0.745
65,0.873,0.624
66,0.887,0.569
67,0.887,0.569
68,0.89,0.51
69,0.897,0.448
70,0.897,0.395
71,0.89,0.353
72,0.873,0.314
73,0.849,0.284
74,0.821,0.255
75,0.79,0.229
76,0.759,0.212
77,0.729,0.203
78,0.698,0.206
79,0.667,0.216
80,0.639,0.216
81,0.605,0.225
82,0.574,0.239
83,0.533,0.248
84,0.491,0.268
85,0.457,0.297
86,0.43,0.33
87,0.409,0.366
88,0.409,0.366
89,0.381,0.444
90,0.371,0.477
91,0.371,0.51
92,0.368,0.546
93,0.378,0.582
94,0.378,0.582
95,0.399,0.614
96,0.416,0.647
97,0.436,0.67
98,0.454,0.686
99,0.471,0.703
