Frame,x,y
0,0.833,0.756
1,0.833,0.756
2,0.837,0.76
3,0.837,0.76
4,0.837,0.764
5,0.837,0.76
6,0.842,0.76
7,0.851,0.76
8,0.855,0.756
9,0.864,0.744
10,0.878,0.732
11,0.9,0.711
12,0.914,0.691
13,0.923,0.675
14,0.932,0.654
15,0.946,0.638
16,0.959,0.602
17,0.968,0.565
18,0.968,0.565
19,0.982,0.524
20,0.995,0.488
21,0.995,0.451
22,1.0,0.407
23,0.986,0.313
24,0.955,0.264
25,0.955,0.264
26,0.914,0.215
27,0.864,0.167
28,0.805,0.126
29,0.742,0.081
30,0.683,0.049
31,0.62,0.024
32,0.548,0.0
33,0.484,0.0
34,0.43,0.0
35,0.38,0.0
36,0.335,0.008
37,0.285,0.033
38,0.231,0.057
39,0.181,0.098
40,0.131,0.146
41,0.09,0.215
42,0.059,0.289
43,0.018,0.39
44,0.0,0.496
45,0.014,0.626
46,0.014,0.626
47,0.068,0.789
48,0.095,0.837
49,0.113,0.894
50,0.14,0.947
51,0.195,0.98
52,0.262,0.996
53,0.262,0.996
54,0.339,1.0
55,0.407,0.988
56,0.462,0.967
57,0.502,0.935
58,0.538,0.89
59,0.566,0.833
60,0.602,0.772
61,0.633,0.72
62,0.656,0.654
63,0.679,0.589
64,0.697,0.516
65,0.706,0.451
66,0.706,0.382
67,0.692,0.321
68,0.67,0.272
69,0.633,0.224
70,0.588,0.191
71,0.538,0.179
72,0.484,0.179
73,0.434,0.199
74,0.389,0.232
75,0.348,0.289
76,0.321,0.35
77,0.308,0.415
78,0.312,0.488
79,0.326,0.573
80,0.326,0.573
81,0.339,0.663
82,0.362,0.736
83,0.425,0.801
84,0.457,0.821
85,0.48,0.813
86,0.493,0.801
87,0.493,0.801
88,0.502,0.772
89,0.516,0.748
90,0.525,0.703
91,0.538,0.659
92,0.543,0.602
93,0.534,0.549
94,0.529,0.508
95,0.525,0.48
96,0.525,0.455
97,0.529,0.435
98,0.538,0.427
99,0.538,0.435
