Frame,x,y
0,0.078,0.988
1,0.098,0.994
2,0.059,0.994
3,0.059,0.991
4,0.059,0.994
5,0.059,0.994
6,0.02,1.0
7,0.039,0.994
8,0.059,0.997
9,0.039,0.994
10,0.0,0.991
11,0.039,0.991
12,0.039,0.991
13,0.059,0.994
14,0.078,0.994
15,0.078,0.991
16,0.059,0.985
17,0.039,0.974
18,0.039,0.968
19,0.039,0.968
20,0.02,0.962
21,0.0,0.953
22,0.0,0.944
23,0.02,0.933
24,0.039,0.918
25,0.02,0.906
26,0.059,0.891
27,0.078,0.874
28,0.059,0.865
29,0.078,0.853
30,0.098,0.839
31,0.118,0.827
32,0.118,0.818
33,0.118,0.818
34,0.137,0.815
35,0.118,0.789
36,0.137,0.774
37,0.157,0.76
38,0.176,0.745
39,0.176,0.745
40,0.235,0.733
41,0.196,0.716
42,0.235,0.704
43,0.235,0.692
44,0.216,0.674
45,0.216,0.66
46,0.176,0.642
47,0.216,0.628
48,0.255,0.601
49,0.314,0.581
50,0.333,0.56
51,0.333,0.543
52,0.333,0.528
53,0.333,0.513
54,0.333,0.499
55,0.333,0.484
56,0.353,0.466
57,0.373,0.446
58,0.412,0.422
59,0.471,0.405
60,0.49,0.387
61,0.529,0.37
62,0.569,0.349
63,0.608,0.328
64,0.686,0.311
65,0.725,0.296
66,0.784,0.276
67,0.784,0.276
68,0.784,0.255
69,0.804,0.238
70,0.863,0.217
71,0.882,0.196
72,0.961,0.164
73,0.98,0.144
74,0.98,0.144
75,1.0,0.132
76,1.0,0.126
77,1.0,0.114
78,1.0,0.103
79,0.98,0.094
80,0.961,0.088
81,0.961,0.082
82,0.941,0.073
83,0.941,0.065
84,0.941,0.056
85,0.902,0.047
86,0.902,0.041
87,0.902,0.038
88,0.882,0.029
89,0.902,0.026
90,0.922,0.021
91,0.902,0.018
92,0.882,0.018
93,0.902,0.015
94,0.902,0.009
95,0.902,0.009
96,0.882,0.0
97,0.882,0.0
98,0.902,0.003
99,0.882,0.009
