Frame,x,y
0,1.0,0.994
1,1.0,1.0
2,0.975,1.0
3,0.95,0.997
4,0.95,0.994
5,0.975,0.99
6,0.975,0.981
7,0.95,0.978
8,0.95,0.978
9,0.95,0.974
10,0.925,0.971
11,0.925,0.968
12,0.875,0.965
13,0.825,0.958
14,0.75,0.958
15,0.75,0.958
16,0.775,0.965
17,0.775,0.968
18,0.7,0.952
19,0.65,0.93
20,0.65,0.917
21,0.6,0.904
22,0.6,0.882
23,0.55,0.866
24,0.575,0.843
25,0.575,0.821
26,0.6,0.796
27,0.55,0.773
28,0.575,0.757
29,0.575,0.741
30,0.575,0.719
31,0.575,0.7
32,0.55,0.681
33,0.55,0.661
34,0.525,0.642
35,0.475,0.623
36,0.5,0.604
37,0.475,0.585
38,0.525,0.562
39,0.525,0.54
40,0.5,0.518
41,0.525,0.498
42,0.475,0.479
43,0.475,0.479
44,0.45,0.46
45,0.45,0.441
46,0.45,0.425
47,0.4,0.38
48,0.35,0.361
49,0.35,0.361
50,0.325,0.345
51,0.3,0.326
52,0.275,0.31
53,0.25,0.291
54,0.225,0.275
55,0.25,0.256
56,0.275,0.24
57,0.325,0.217
58,0.35,0.195
59,0.375,0.179
60,0.4,0.163
61,0.4,0.15
62,0.4,0.141
63,0.35,0.131
64,0.35,0.121
65,0.3,0.112
66,0.275,0.102
67,0.2,0.093
68,0.175,0.086
69,0.15,0.086
70,0.15,0.08
71,0.1,0.07
72,0.075,0.061
73,0.1,0.054
74,0.075,0.042
75,0.025,0.038
76,0.075,0.019
77,0.075,0.019
78,0.125,0.01
79,0.075,0.01
80,0.05,0.0
81,0.025,0.003
82,0.025,0.01
83,0.0,0.006
84,0.0,0.006
85,0.0,0.003
86,0.025,0.006
87,0.075,0.01
88,0.05,0.013
89,0.075,0.019
90,0.125,0.022
91,0.1,0.026
92,0.125,0.029
93,0.125,0.026
94,0.175,0.032
95,0.175,0.026
96,0.2,0.029
97,0.225,0.029
98,0.225,0.035
99,0.225,0.032
