Frame,x,y
0,0.071,0.987
1,0.071,0.987
2,0.071,0.987
3,0.071,0.99
4,0.071,0.99
5,0.071,0.99
6,0.071,0.99
7,0.071,0.993
8,0.071,0.997
9,0.071,1.0
10,0.071,1.0
11,0.071,0.997
12,0.036,0.993
13,0.036,0.993
14,0.071,0.99
15,0.036,0.987
16,0.036,0.983
17,0.0,0.977
18,0.036,0.97
19,0.0,0.967
20,0.0,0.967
21,0.036,0.964
22,0.071,0.964
23,0.071,0.95
24,0.107,0.937
25,0.107,0.924
26,0.107,0.924
27,0.143,0.907
28,0.107,0.894
29,0.107,0.881
30,0.107,0.868
31,0.036,0.848
32,0.071,0.834
33,0.071,0.818
34,0.071,0.805
35,0.071,0.791
36,0.036,0.775
37,0.036,0.758
38,0.071,0.742
39,0.071,0.728
40,0.036,0.712
41,0.071,0.695
42,0.107,0.682
43,0.143,0.666
44,0.179,0.652
45,0.179,0.639
46,0.25,0.626
47,0.286,0.616
48,0.286,0.606
49,0.286,0.589
50,0.321,0.573
51,0.357,0.56
52,0.25,0.546
53,0.321,0.533
54,0.321,0.533
55,0.321,0.523
56,0.286,0.51
57,0.357,0.497
58,0.357,0.48
59,0.357,0.454
60,0.357,0.437
61,0.357,0.437
62,0.429,0.427
63,0.429,0.417
64,0.393,0.407
65,0.429,0.397
66,0.5,0.384
67,0.5,0.374
68,0.536,0.361
69,0.571,0.351
70,0.607,0.341
71,0.607,0.328
72,0.679,0.311
73,0.786,0.295
74,0.857,0.281
75,0.857,0.272
76,0.893,0.258
77,0.893,0.248
78,0.929,0.235
79,0.929,0.225
80,0.964,0.212
81,1.0,0.202
82,1.0,0.202
83,0.964,0.182
84,0.929,0.172
85,0.929,0.159
86,0.893,0.146
87,0.893,0.132
88,0.893,0.119
89,0.893,0.119
90,0.893,0.106
91,0.893,0.089
92,0.857,0.076
93,0.893,0.07
94,0.893,0.056
95,0.893,0.046
96,0.786,0.04
97,0.893,0.023
98,0.929,0.01
99,0.929,0.0
