Frame,x,y
0,0.211,0.99
1,0.158,0.987
2,0.211,0.987
3,0.158,0.987
4,0.211,0.99
5,0.211,0.99
6,0.263,0.994
7,0.263,0.997
8,0.158,1.0
9,0.211,0.994
10,0.211,0.994
11,0.158,0.994
12,0.158,0.994
13,0.158,0.994
14,0.211,0.994
15,0.158,0.984
16,0.158,0.981
17,0.158,0.978
18,0.158,0.978
19,0.105,0.981
20,0.105,0.981
21,0.158,0.974
22,0.158,0.968
23,0.105,0.955
24,0.158,0.946
25,0.158,0.933
26,0.158,0.923
27,0.158,0.92
28,0.105,0.907
29,0.105,0.895
30,0.158,0.875
31,0.158,0.859
32,0.105,0.85
33,0.053,0.831
34,0.105,0.818
35,0.0,0.802
36,0.053,0.783
37,0.105,0.764
38,0.053,0.744
39,0.053,0.732
40,0.105,0.719
41,0.158,0.706
42,0.263,0.69
43,0.263,0.674
44,0.211,0.661
45,0.263,0.645
46,0.263,0.645
47,0.263,0.626
48,0.263,0.613
49,0.316,0.601
50,0.263,0.588
51,0.368,0.565
52,0.421,0.546
53,0.421,0.546
54,0.421,0.534
55,0.526,0.521
56,0.526,0.508
57,0.526,0.495
58,0.526,0.482
59,0.474,0.47
60,0.474,0.457
61,0.474,0.444
62,0.474,0.428
63,0.526,0.406
64,0.474,0.39
65,0.526,0.374
66,0.526,0.361
67,0.526,0.348
68,0.526,0.335
69,0.526,0.326
70,0.526,0.316
71,0.474,0.31
72,0.474,0.304
73,0.526,0.291
74,0.526,0.284
75,0.526,0.278
76,0.526,0.272
77,0.421,0.259
78,0.421,0.249
79,0.421,0.24
80,0.474,0.227
81,0.474,0.227
82,0.526,0.211
83,0.526,0.198
84,0.526,0.188
85,0.632,0.173
86,0.632,0.147
87,0.632,0.147
88,0.737,0.134
89,0.737,0.109
90,0.684,0.093
91,0.789,0.077
92,0.842,0.061
93,0.789,0.058
94,0.842,0.051
95,0.789,0.038
96,0.789,0.032
97,0.789,0.026
98,1.0,0.01
99,0.895,0.0
