Frame,x,y
0,1.0,0.959
1,0.833,0.974
2,0.833,0.978
3,0.833,0.978
4,0.667,0.981
5,0.667,0.974
6,0.583,0.974
7,0.583,0.978
8,0.583,0.981
9,0.667,0.989
10,0.5,0.989
11,0.583,0.981
12,0.583,0.981
13,0.417,0.981
14,0.667,0.981
15,0.583,0.989
16,0.5,0.996
17,0.417,0.996
18,0.417,1.0
19,0.417,1.0
20,0.333,1.0
21,0.25,1.0
22,0.25,0.993
23,0.167,0.996
24,0.333,1.0
25,0.333,0.993
26,0.167,1.0
27,0.333,0.993
28,0.333,0.989
29,0.25,0.981
30,0.333,0.97
31,0.333,0.959
32,0.25,0.951
33,0.25,0.948
34,0.25,0.937
35,0.167,0.929
36,0.25,0.918
37,0.25,0.91
38,0.167,0.896
39,0.083,0.884
40,0.083,0.877
41,0.083,0.862
42,0.0,0.843
43,0.167,0.832
44,0.167,0.81
45,0.167,0.791
46,0.333,0.776
47,0.333,0.776
48,0.417,0.761
49,0.333,0.746
50,0.25,0.716
51,0.167,0.705
52,0.25,0.698
53,0.25,0.698
54,0.167,0.698
55,0.167,0.687
56,0.333,0.675
57,0.333,0.653
58,0.333,0.631
59,0.417,0.612
60,0.5,0.593
61,0.5,0.575
62,0.583,0.556
63,0.75,0.537
64,0.917,0.519
65,0.667,0.496
66,0.75,0.481
67,0.75,0.466
68,0.75,0.451
69,0.75,0.437
70,0.75,0.422
71,0.75,0.403
72,0.667,0.388
73,0.583,0.377
74,0.583,0.362
75,0.583,0.347
76,0.583,0.328
77,0.667,0.313
78,0.667,0.299
79,0.667,0.28
80,0.75,0.265
81,0.75,0.265
82,0.75,0.246
83,0.75,0.231
84,0.75,0.22
85,0.75,0.205
86,0.583,0.172
87,0.583,0.153
88,0.583,0.153
89,0.5,0.138
90,0.5,0.127
91,0.333,0.116
92,0.333,0.101
93,0.333,0.078
94,0.333,0.063
95,0.333,0.052
96,0.25,0.041
97,0.25,0.03
98,0.333,0.015
99,0.333,0.0
