Frame,x,y
0,0.133,0.006
1,0.133,0.006
2,0.2,0.003
3,0.067,0.006
4,0.0,0.009
5,0.0,0.009
6,0.133,0.009
7,0.0,0.009
8,0.067,0.006
9,0.2,0.003
10,0.2,0.0
11,0.133,0.009
12,0.133,0.006
13,0.133,0.006
14,0.2,0.009
15,0.133,0.0
16,0.2,0.009
17,0.333,0.013
18,0.333,0.016
19,0.267,0.019
20,0.267,0.019
21,0.4,0.025
22,0.4,0.031
23,0.4,0.041
24,0.6,0.041
25,0.733,0.05
26,0.8,0.06
27,0.6,0.072
28,0.6,0.085
29,0.733,0.094
30,0.733,0.104
31,0.533,0.119
32,0.667,0.129
33,0.6,0.135
34,0.8,0.142
35,0.8,0.151
36,1.0,0.157
37,0.867,0.176
38,0.733,0.186
39,0.667,0.198
40,0.667,0.211
41,0.733,0.223
42,0.6,0.242
43,0.667,0.252
44,0.8,0.261
45,0.733,0.277
46,0.667,0.286
47,0.667,0.286
48,0.8,0.302
49,0.667,0.318
50,0.8,0.333
51,0.733,0.352
52,0.6,0.368
53,0.6,0.403
54,0.6,0.403
55,0.6,0.415
56,0.533,0.425
57,0.533,0.44
58,0.533,0.459
59,0.467,0.475
60,0.333,0.497
61,0.467,0.516
62,0.533,0.531
63,0.4,0.547
64,0.333,0.566
65,0.4,0.585
66,0.267,0.601
67,0.4,0.61
68,0.333,0.629
69,0.4,0.648
70,0.6,0.66
71,0.533,0.676
72,0.667,0.689
73,0.733,0.701
74,0.467,0.723
75,0.467,0.723
76,0.4,0.739
77,0.4,0.78
78,0.467,0.789
79,0.6,0.805
80,0.667,0.824
81,0.667,0.836
82,0.667,0.836
83,0.733,0.849
84,0.733,0.858
85,0.6,0.874
86,0.733,0.881
87,0.6,0.893
88,0.733,0.906
89,0.667,0.912
90,0.667,0.925
91,0.667,0.934
92,0.733,0.943
93,0.733,0.953
94,0.533,0.962
95,0.667,0.975
96,0.533,0.984
97,0.467,0.994
98,0.6,1.0
99,0.533,1.0
