Frame,x,y
0,0.677,0.018
1,0.742,0.015
2,0.71,0.012
3,0.871,0.012
4,0.871,0.012
5,0.806,0.012
6,0.806,0.015
7,0.774,0.015
8,0.742,0.018
9,0.742,0.018
10,0.839,0.012
11,0.839,0.012
12,0.774,0.015
13,0.903,0.009
14,0.742,0.012
15,0.839,0.009
16,0.839,0.006
17,0.839,0.009
18,0.871,0.003
19,0.935,0.0
20,0.806,0.006
21,0.774,0.012
22,0.774,0.02
23,0.806,0.029
24,0.839,0.041
25,0.871,0.044
26,0.839,0.05
27,0.935,0.058
28,0.903,0.067
29,0.871,0.082
30,0.871,0.091
31,0.871,0.108
32,0.903,0.117
33,0.903,0.126
34,0.839,0.143
35,0.871,0.155
36,0.806,0.175
37,0.839,0.19
38,0.871,0.205
39,0.871,0.205
40,0.871,0.216
41,0.935,0.228
42,1.0,0.254
43,0.968,0.269
44,1.0,0.287
45,1.0,0.307
46,1.0,0.307
47,1.0,0.322
48,0.968,0.345
49,1.0,0.371
50,0.968,0.38
51,0.935,0.395
52,0.935,0.412
53,0.935,0.43
54,0.968,0.444
55,1.0,0.465
56,0.968,0.485
57,0.968,0.506
58,0.871,0.526
59,0.871,0.55
60,0.871,0.57
61,0.903,0.585
62,0.903,0.596
63,0.806,0.611
64,0.839,0.626
65,0.806,0.643
66,0.806,0.658
67,0.774,0.673
68,0.806,0.693
69,0.806,0.711
70,0.871,0.728
71,0.742,0.749
72,0.774,0.772
73,0.774,0.772
74,0.871,0.784
75,0.806,0.787
76,0.645,0.807
77,0.677,0.816
78,0.613,0.845
79,0.516,0.857
80,0.516,0.857
81,0.581,0.865
82,0.484,0.883
83,0.581,0.892
84,0.419,0.909
85,0.516,0.921
86,0.452,0.933
87,0.323,0.947
88,0.29,0.956
89,0.29,0.959
90,0.258,0.968
91,0.226,0.974
92,0.194,0.977
93,0.226,0.98
94,0.129,0.985
95,0.129,0.988
96,0.097,0.994
97,0.0,0.997
98,0.0,1.0
99,0.032,1.0
