Frame,x,y
0,0.333,0.0
1,0.333,0.01
2,0.222,0.019
3,0.111,0.029
4,0.111,0.029
5,0.222,0.019
6,0.222,0.01
7,0.222,0.0
8,0.222,0.01
9,0.222,0.019
10,0.222,0.029
11,0.222,0.019
12,0.222,0.019
13,0.222,0.019
14,0.111,0.029
15,0.111,0.029
16,0.222,0.038
17,0.222,0.048
18,0.222,0.048
19,0.222,0.048
20,0.222,0.057
21,0.111,0.086
22,0.111,0.105
23,0.111,0.114
24,0.0,0.114
25,0.0,0.114
26,0.0,0.114
27,0.111,0.133
28,0.111,0.143
29,0.111,0.152
30,0.111,0.152
31,0.111,0.171
32,0.0,0.19
33,0.0,0.21
34,0.0,0.229
35,0.111,0.229
36,0.222,0.229
37,0.222,0.248
38,0.333,0.257
39,0.444,0.267
40,0.333,0.276
41,0.444,0.286
42,0.556,0.295
43,0.556,0.305
44,0.556,0.314
45,0.556,0.333
46,0.667,0.343
47,0.778,0.371
48,0.778,0.371
49,0.778,0.381
50,0.778,0.4
51,0.778,0.41
52,0.889,0.419
53,0.889,0.419
54,0.889,0.429
55,1.0,0.438
56,1.0,0.448
57,1.0,0.467
58,0.889,0.476
59,0.889,0.476
60,0.778,0.486
61,0.778,0.495
62,0.889,0.505
63,0.778,0.505
64,0.778,0.514
65,0.778,0.524
66,0.778,0.533
67,0.778,0.543
68,0.778,0.552
69,0.778,0.562
70,0.778,0.562
71,0.889,0.581
72,0.889,0.581
73,0.889,0.59
74,0.889,0.6
75,0.889,0.619
76,0.889,0.629
77,1.0,0.638
78,1.0,0.648
79,1.0,0.657
80,1.0,0.657
81,0.889,0.695
82,0.778,0.714
83,0.778,0.733
84,0.889,0.743
85,0.778,0.762
86,0.778,0.771
87,0.778,0.771
88,0.778,0.79
89,0.778,0.8
90,0.889,0.81
91,0.889,0.829
92,0.889,0.857
93,0.889,0.886
94,0.889,0.886
95,0.778,0.914
96,0.778,0.943
97,0.667,0.962
98,0.778,0.981
99,0.778,1.0
