Frame,x,y
0,0.091,0.0
1,0.091,0.0
2,0.045,0.007
3,0.0,0.007
4,0.0,0.007
5,0.0,0.007
6,0.045,0.013
7,0.091,0.007
8,0.136,0.0
9,0.136,0.0
10,0.136,0.013
11,0.136,0.026
12,0.091,0.02
13,0.091,0.02
14,0.136,0.02
15,0.136,0.026
16,0.136,0.033
17,0.136,0.046
18,0.182,0.053
19,0.182,0.053
20,0.227,0.06
21,0.227,0.066
22,0.227,0.079
23,0.273,0.099
24,0.318,0.106
25,0.364,0.113
26,0.364,0.119
27,0.409,0.132
28,0.409,0.146
29,0.455,0.159
30,0.455,0.166
31,0.455,0.172
32,0.455,0.185
33,0.455,0.185
34,0.409,0.205
35,0.409,0.225
36,0.409,0.232
37,0.409,0.245
38,0.455,0.258
39,0.455,0.258
40,0.455,0.265
41,0.455,0.272
42,0.455,0.278
43,0.5,0.285
44,0.545,0.291
45,0.545,0.305
46,0.5,0.311
47,0.5,0.325
48,0.5,0.331
49,0.5,0.338
50,0.5,0.351
51,0.5,0.364
52,0.545,0.371
53,0.545,0.384
54,0.545,0.397
55,0.545,0.411
56,0.591,0.417
57,0.636,0.43
58,0.636,0.437
59,0.682,0.457
60,0.636,0.47
61,0.682,0.483
62,0.636,0.497
63,0.591,0.523
64,0.545,0.543
65,0.591,0.556
66,0.636,0.556
67,0.636,0.556
68,0.727,0.57
69,0.773,0.576
70,0.773,0.589
71,0.727,0.609
72,0.727,0.642
73,0.727,0.649
74,0.727,0.649
75,0.773,0.662
76,0.773,0.669
77,0.773,0.682
78,0.773,0.695
79,0.727,0.709
80,0.773,0.715
81,0.773,0.722
82,0.773,0.735
83,0.818,0.742
84,0.818,0.762
85,0.818,0.781
86,0.818,0.801
87,0.818,0.808
88,0.864,0.821
89,0.864,0.834
90,0.909,0.848
91,0.909,0.861
92,0.909,0.881
93,0.909,0.901
94,0.909,0.921
95,0.955,0.934
96,0.955,0.954
97,0.955,0.967
98,1.0,0.987
99,1.0,1.0
