Frame,x,y
0,0.091,0.005
1,0.091,0.0
2,0.091,0.0
3,0.091,0.005
4,0.182,0.005
5,0.091,0.011
6,0.182,0.011
7,0.182,0.011
8,0.182,0.016
9,0.182,0.022
10,0.182,0.022
11,0.182,0.022
12,0.182,0.027
13,0.182,0.032
14,0.273,0.032
15,0.273,0.038
16,0.273,0.038
17,0.273,0.059
18,0.273,0.076
19,0.182,0.092
20,0.182,0.108
21,0.182,0.124
22,0.182,0.124
23,0.182,0.135
24,0.273,0.146
25,0.273,0.162
26,0.364,0.178
27,0.455,0.184
28,0.545,0.189
29,0.636,0.189
30,0.636,0.195
31,0.636,0.205
32,0.727,0.216
33,0.636,0.227
34,0.636,0.238
35,0.545,0.254
36,0.636,0.259
37,0.636,0.27
38,0.727,0.281
39,0.818,0.292
40,0.909,0.297
41,1.0,0.308
42,1.0,0.324
43,1.0,0.346
44,1.0,0.368
45,0.909,0.378
46,0.909,0.389
47,0.909,0.4
48,0.818,0.411
49,0.818,0.422
50,0.818,0.422
51,0.727,0.449
52,0.636,0.465
53,0.545,0.492
54,0.545,0.503
55,0.545,0.514
56,0.545,0.524
57,0.545,0.524
58,0.545,0.535
59,0.455,0.546
60,0.364,0.562
61,0.273,0.578
62,0.273,0.584
63,0.273,0.595
64,0.364,0.6
65,0.364,0.616
66,0.364,0.627
67,0.455,0.643
68,0.455,0.659
69,0.455,0.67
70,0.455,0.681
71,0.455,0.692
72,0.455,0.703
73,0.455,0.719
74,0.364,0.735
75,0.273,0.757
76,0.273,0.768
77,0.364,0.778
78,0.364,0.784
79,0.455,0.795
80,0.455,0.805
81,0.455,0.816
82,0.545,0.827
83,0.545,0.832
84,0.455,0.843
85,0.455,0.843
86,0.364,0.849
87,0.364,0.859
88,0.273,0.87
89,0.182,0.892
90,0.091,0.908
91,0.091,0.908
92,0.0,0.924
93,0.0,0.935
94,0.091,0.941
95,0.091,0.951
96,0.091,0.962
97,0.091,0.978
98,0.091,0.989
99,0.182,1.0
