Frame,x,y
0,0.207,0.004
1,0.172,0.0
2,0.207,0.0
3,0.172,0.0
4,0.172,0.0
5,0.172,0.0
6,0.172,0.0
7,0.207,0.0
8,0.138,0.0
9,0.138,0.008
10,0.138,0.008
11,0.138,0.008
12,0.138,0.012
13,0.138,0.012
14,0.103,0.016
15,0.103,0.016
16,0.138,0.02
17,0.103,0.024
18,0.103,0.028
19,0.103,0.032
20,0.069,0.045
21,0.034,0.057
22,0.034,0.065
23,0.034,0.073
24,0.034,0.081
25,0.034,0.081
26,0.034,0.089
27,0.034,0.097
28,0.034,0.113
29,0.034,0.134
30,0.034,0.142
31,0.034,0.158
32,0.034,0.158
33,0.0,0.166
34,0.034,0.178
35,0.0,0.182
36,0.0,0.194
37,0.034,0.202
38,0.034,0.211
39,0.0,0.223
40,0.0,0.227
41,0.0,0.239
42,0.0,0.243
43,0.034,0.255
44,0.034,0.263
45,0.034,0.275
46,0.069,0.287
47,0.103,0.304
48,0.103,0.32
49,0.138,0.34
50,0.207,0.352
51,0.241,0.368
52,0.276,0.389
53,0.31,0.413
54,0.345,0.429
55,0.379,0.441
56,0.414,0.462
57,0.448,0.482
58,0.483,0.498
59,0.517,0.514
60,0.517,0.514
61,0.517,0.526
62,0.552,0.547
63,0.621,0.567
64,0.655,0.579
65,0.793,0.615
66,0.828,0.628
67,0.828,0.628
68,0.897,0.636
69,0.966,0.656
70,0.931,0.672
71,0.931,0.684
72,0.897,0.704
73,0.931,0.717
74,0.897,0.729
75,0.931,0.741
76,0.931,0.757
77,0.862,0.773
78,0.862,0.785
79,0.828,0.802
80,0.828,0.818
81,0.862,0.822
82,0.897,0.834
83,0.931,0.846
84,1.0,0.854
85,1.0,0.858
86,1.0,0.866
87,0.966,0.879
88,0.966,0.879
89,0.931,0.903
90,0.897,0.911
91,0.897,0.923
92,0.862,0.935
93,0.828,0.947
94,0.828,0.947
95,0.862,0.955
96,0.897,0.968
97,0.931,0.98
98,0.897,0.992
99,0.931,1.0
