Frame,x,y
0,0.917,0.0
1,0.833,0.0
2,0.833,0.0
3,0.75,0.0
4,0.75,0.0
5,0.833,0.0
6,0.833,0.005
7,0.917,0.005
8,0.917,0.005
9,0.917,0.005
10,0.917,0.005
11,1.0,0.01
12,0.75,0.01
13,0.917,0.02
14,0.833,0.02
15,0.917,0.029
16,0.75,0.029
17,0.833,0.034
18,0.833,0.044
19,0.75,0.049
20,0.75,0.049
21,0.75,0.054
22,0.833,0.063
23,0.667,0.073
24,0.667,0.073
25,0.667,0.088
26,0.583,0.102
27,0.583,0.117
28,0.5,0.132
29,0.5,0.151
30,0.583,0.161
31,0.417,0.18
32,0.5,0.195
33,0.417,0.205
34,0.417,0.21
35,0.417,0.22
36,0.5,0.224
37,0.583,0.229
38,0.583,0.229
39,0.583,0.239
40,0.5,0.254
41,0.5,0.254
42,0.5,0.263
43,0.417,0.302
44,0.417,0.322
45,0.417,0.322
46,0.417,0.327
47,0.417,0.337
48,0.417,0.341
49,0.5,0.356
50,0.417,0.376
51,0.417,0.38
52,0.5,0.385
53,0.917,0.395
54,0.583,0.42
55,0.5,0.434
56,0.583,0.449
57,0.667,0.463
58,0.833,0.483
59,0.5,0.507
60,0.5,0.522
61,0.583,0.532
62,0.667,0.537
63,0.417,0.551
64,0.417,0.571
65,0.583,0.58
66,0.333,0.59
67,0.417,0.6
68,0.417,0.615
69,0.5,0.624
70,0.25,0.639
71,0.417,0.644
72,0.417,0.644
73,0.417,0.659
74,0.417,0.663
75,0.333,0.673
76,0.417,0.683
77,0.417,0.702
78,0.333,0.737
79,0.333,0.737
80,0.333,0.746
81,0.417,0.746
82,0.333,0.761
83,0.333,0.785
84,0.333,0.8
85,0.333,0.81
86,0.25,0.82
87,0.25,0.834
88,0.333,0.844
89,0.333,0.844
90,0.417,0.859
91,0.417,0.873
92,0.333,0.888
93,0.25,0.907
94,0.167,0.932
95,0.083,0.951
96,0.083,0.971
97,0.083,0.985
98,0.0,0.995
99,0.0,1.0
