Frame,x,y
0,0.868,0.0
1,0.862,0.0
2,0.858,0.004
3,0.848,0.016
4,0.84,0.033
5,0.83,0.049
6,0.82,0.065
7,0.805,0.082
8,0.778,0.11
9,0.752,0.151
10,0.732,0.184
11,0.715,0.208
12,0.692,0.233
13,0.67,0.261
14,0.645,0.29
15,0.618,0.322
16,0.59,0.359
17,0.565,0.392
18,0.538,0.416
19,0.51,0.449
20,0.482,0.482
21,0.452,0.514
22,0.425,0.547
23,0.398,0.571
24,0.372,0.6
25,0.345,0.62
26,0.32,0.641
27,0.292,0.657
28,0.27,0.673
29,0.248,0.686
30,0.225,0.69
31,0.2,0.69
32,0.175,0.682
33,0.152,0.673
34,0.13,0.661
35,0.108,0.657
36,0.085,0.645
37,0.065,0.629
38,0.05,0.604
39,0.035,0.567
40,0.022,0.527
41,0.01,0.482
42,0.002,0.429
43,0.0,0.371
44,0.008,0.318
45,0.012,0.278
46,0.02,0.245
47,0.035,0.208
48,0.055,0.18
49,0.078,0.163
50,0.102,0.147
51,0.13,0.135
52,0.16,0.127
53,0.188,0.127
54,0.218,0.135
55,0.248,0.139
56,0.285,0.151
57,0.32,0.171
58,0.358,0.208
59,0.39,0.237
60,0.43,0.269
61,0.472,0.302
62,0.518,0.343
63,0.558,0.38
64,0.59,0.412
65,0.622,0.449
66,0.655,0.486
67,0.682,0.514
68,0.708,0.547
69,0.73,0.571
70,0.752,0.6
71,0.772,0.624
72,0.79,0.657
73,0.808,0.686
74,0.825,0.706
75,0.84,0.722
76,0.852,0.739
77,0.865,0.755
78,0.875,0.767
79,0.888,0.784
80,0.898,0.804
81,0.905,0.829
82,0.915,0.853
83,0.928,0.869
84,0.94,0.886
85,0.952,0.91
86,0.96,0.927
87,0.97,0.943
88,0.978,0.955
89,0.985,0.959
90,0.99,0.959
91,0.99,0.967
92,0.988,0.98
93,0.988,0.988
94,0.992,0.988
95,0.998,0.996
96,1.0,1.0
