Frame,x,y
0,0.099,0.904
1,0.099,0.904
2,0.095,0.909
3,0.091,0.913
4,0.091,0.918
5,0.091,0.923
6,0.095,0.918
7,0.106,0.913
8,0.113,0.904
9,0.128,0.87
10,0.135,0.851
11,0.157,0.812
12,0.182,0.764
13,0.208,0.712
14,0.241,0.639
15,0.292,0.587
16,0.303,0.51
17,0.325,0.452
18,0.361,0.394
19,0.387,0.346
20,0.405,0.279
21,0.431,0.207
22,0.453,0.144
23,0.471,0.087
24,0.493,0.038
25,0.507,0.005
26,0.522,0.0
27,0.536,0.024
28,0.536,0.024
29,0.544,0.072
30,0.551,0.125
31,0.558,0.183
32,0.558,0.284
33,0.58,0.418
34,0.588,0.495
35,0.588,0.495
36,0.595,0.577
37,0.595,0.678
38,0.62,0.774
39,0.609,0.861
40,0.631,0.971
41,0.639,0.99
42,0.639,1.0
43,0.635,0.99
44,0.617,0.947
45,0.562,0.837
46,0.522,0.793
47,0.489,0.702
48,0.412,0.62
49,0.347,0.572
50,0.27,0.519
51,0.215,0.466
52,0.164,0.442
53,0.128,0.404
54,0.102,0.361
55,0.073,0.317
56,0.073,0.317
57,0.011,0.288
58,0.0,0.288
59,0.007,0.298
60,0.047,0.303
61,0.095,0.303
62,0.168,0.303
63,0.168,0.303
64,0.263,0.298
65,0.354,0.298
66,0.434,0.303
67,0.511,0.312
68,0.602,0.298
69,0.737,0.274
70,0.737,0.274
71,0.807,0.264
72,0.865,0.25
73,0.938,0.255
74,0.993,0.26
75,1.0,0.269
76,0.982,0.279
77,0.971,0.279
78,0.931,0.284
79,0.876,0.308
80,0.828,0.341
81,0.763,0.385
82,0.682,0.466
83,0.613,0.51
84,0.536,0.582
85,0.449,0.649
86,0.369,0.716
87,0.299,0.784
88,0.237,0.851
89,0.168,0.899
90,0.12,0.952
91,0.12,0.952
92,0.088,0.966
93,0.055,0.981
94,0.04,1.0
95,0.044,0.995
96,0.04,0.986
97,0.04,0.986
98,0.036,0.981
99,0.036,0.976
