Frame,x,y
1,0.0,0.619
2,0.0,0.618
3,0.006,0.612
4,0.022,0.599
5,0.043,0.584
6,0.055,0.577
7,0.052,0.583
8,0.052,0.581
9,0.069,0.554
10,0.096,0.515
11,0.112,0.494
12,0.111,0.497
13,0.109,0.498
14,0.121,0.47
15,0.152,0.414
16,0.202,0.343
17,0.26,0.275
18,0.295,0.236
19,0.294,0.237
20,0.289,0.242
21,0.316,0.213
22,0.375,0.151
23,0.441,0.084
24,0.497,0.033
25,0.53,0.002
26,0.537,0.0
27,0.532,0.0
28,0.539,0.0
29,0.566,0.0
30,0.599,0.001
31,0.624,0.035
32,0.639,0.071
33,0.641,0.08
34,0.638,0.071
35,0.643,0.085
36,0.667,0.145
37,0.706,0.233
38,0.758,0.328
39,0.806,0.406
40,0.832,0.44
41,0.831,0.435
42,0.826,0.433
43,0.832,0.469
44,0.828,0.523
45,0.787,0.562
46,0.722,0.575
47,0.683,0.577
48,0.695,0.578
49,0.697,0.577
50,0.626,0.576
51,0.514,0.573
52,0.447,0.57
53,0.454,0.57
54,0.46,0.571
55,0.397,0.573
56,0.287,0.576
57,0.185,0.577
58,0.117,0.579
59,0.074,0.588
60,0.049,0.607
61,0.036,0.626
62,0.03,0.632
63,0.029,0.63
64,0.035,0.632
65,0.051,0.65
66,0.088,0.688
67,0.15,0.747
68,0.215,0.804
69,0.244,0.829
70,0.237,0.822
71,0.238,0.824
72,0.282,0.869
73,0.341,0.925
74,0.37,0.95
75,0.366,0.944
76,0.359,0.944
77,0.369,0.969
78,0.394,0.996
79,0.427,0.999
80,0.457,0.983
81,0.468,0.973
82,0.461,0.977
83,0.465,0.975
84,0.501,0.95
85,0.558,0.907
86,0.611,0.863
87,0.658,0.818
88,0.712,0.762
89,0.78,0.692
90,0.837,0.634
91,0.854,0.621
92,0.845,0.631
93,0.854,0.615
94,0.897,0.553
95,0.941,0.493
96,0.953,0.48
97,0.946,0.49
98,0.951,0.475
99,0.976,0.424
100,1.0,0.376
