Frame,x,y
0,0.989,0.973
1,0.989,0.966
2,0.996,0.979
3,0.992,0.973
4,0.989,0.966
5,0.989,0.966
6,0.989,0.966
7,0.992,0.966
8,0.989,0.959
9,0.992,0.959
10,0.992,0.959
11,0.992,0.959
12,1.0,0.952
13,0.996,0.952
14,0.996,0.959
15,0.996,0.966
16,0.992,0.966
17,0.985,0.966
18,0.97,0.966
19,0.955,0.973
20,0.943,0.973
21,0.925,0.973
22,0.913,0.979
23,0.894,0.979
24,0.872,0.973
25,0.845,0.973
26,0.826,0.973
27,0.815,0.986
28,0.796,0.986
29,0.774,0.993
30,0.755,1.0
31,0.728,0.986
32,0.728,0.986
33,0.694,0.993
34,0.687,1.0
35,0.672,1.0
36,0.642,1.0
37,0.611,1.0
38,0.585,0.986
39,0.585,0.986
40,0.562,0.986
41,0.54,0.973
42,0.521,0.966
43,0.502,0.959
44,0.483,0.952
45,0.423,0.918
46,0.423,0.918
47,0.389,0.904
48,0.355,0.89
49,0.325,0.87
50,0.294,0.842
51,0.268,0.829
52,0.245,0.815
53,0.219,0.795
54,0.2,0.774
55,0.181,0.76
56,0.174,0.747
57,0.166,0.719
58,0.158,0.692
59,0.143,0.671
60,0.132,0.644
61,0.128,0.616
62,0.121,0.589
63,0.113,0.555
64,0.109,0.527
65,0.109,0.507
66,0.102,0.473
67,0.102,0.473
68,0.091,0.438
69,0.079,0.39
70,0.079,0.37
71,0.072,0.349
72,0.064,0.322
73,0.057,0.301
74,0.057,0.301
75,0.049,0.274
76,0.045,0.253
77,0.038,0.233
78,0.038,0.212
79,0.03,0.192
80,0.026,0.164
81,0.023,0.151
82,0.023,0.137
83,0.023,0.13
84,0.019,0.116
85,0.015,0.11
86,0.011,0.082
87,0.015,0.068
88,0.015,0.055
89,0.011,0.034
90,0.008,0.041
91,0.008,0.041
92,0.011,0.014
93,0.011,0.027
94,0.004,0.0
95,0.0,0.007
96,0.004,0.014
97,0.004,0.007
98,0.0,0.014
99,0.0,0.0
