Frame,x,y
0,0.992,0.924
1,0.992,0.931
2,0.988,0.931
3,0.992,0.931
4,0.996,0.931
5,0.996,0.924
6,0.992,0.931
7,0.996,0.939
8,0.996,0.931
9,0.996,0.939
10,0.996,0.939
11,0.996,0.939
12,1.0,0.939
13,1.0,0.947
14,0.988,0.939
15,0.988,0.939
16,0.988,0.947
17,0.984,0.939
18,0.975,0.931
19,0.959,0.939
20,0.934,0.939
21,0.934,0.939
22,0.926,0.947
23,0.918,0.939
24,0.905,0.947
25,0.889,0.947
26,0.868,0.947
27,0.852,0.954
28,0.831,0.969
29,0.815,0.977
30,0.802,0.985
31,0.79,0.977
32,0.765,0.977
33,0.741,0.992
34,0.716,0.992
35,0.7,0.992
36,0.683,1.0
37,0.663,1.0
38,0.642,1.0
39,0.621,1.0
40,0.605,1.0
41,0.58,0.985
42,0.58,0.985
43,0.523,0.977
44,0.502,0.977
45,0.486,0.977
46,0.465,0.962
47,0.436,0.954
48,0.403,0.939
49,0.403,0.939
50,0.379,0.931
51,0.358,0.924
52,0.337,0.916
53,0.313,0.908
54,0.288,0.908
55,0.263,0.885
56,0.255,0.878
57,0.251,0.855
58,0.235,0.84
59,0.214,0.817
60,0.198,0.794
61,0.177,0.763
62,0.165,0.733
63,0.148,0.702
64,0.136,0.679
65,0.132,0.656
66,0.119,0.626
67,0.111,0.595
68,0.099,0.557
69,0.086,0.534
70,0.074,0.496
71,0.07,0.473
72,0.062,0.45
73,0.053,0.427
74,0.045,0.397
75,0.037,0.366
76,0.033,0.344
77,0.033,0.344
78,0.029,0.328
79,0.025,0.305
80,0.016,0.267
81,0.016,0.244
82,0.012,0.229
83,0.012,0.229
84,0.008,0.214
85,0.008,0.198
86,0.008,0.176
87,0.012,0.153
88,0.016,0.145
89,0.008,0.122
90,0.008,0.092
91,0.012,0.092
92,0.008,0.061
93,0.008,0.053
94,0.004,0.038
95,0.0,0.031
96,0.004,0.023
97,0.004,0.015
98,0.004,0.008
99,0.004,0.0
