Frame,x,y
0,0.993,0.971
1,0.99,0.976
2,0.99,0.971
3,0.99,0.971
4,0.99,0.967
5,0.993,0.971
6,0.997,0.967
7,1.0,0.971
8,1.0,0.971
9,0.997,0.971
10,0.99,0.976
11,0.983,0.981
12,0.98,0.981
13,0.973,0.981
14,0.966,0.986
15,0.96,0.986
16,0.943,0.986
17,0.909,0.976
18,0.859,0.957
19,0.808,0.962
20,0.781,0.976
21,0.768,0.986
22,0.754,0.986
23,0.734,0.986
24,0.714,0.986
25,0.697,0.995
26,0.684,0.99
27,0.657,0.995
28,0.657,0.995
29,0.609,0.99
30,0.579,1.0
31,0.529,1.0
32,0.508,1.0
33,0.481,0.995
34,0.455,0.99
35,0.455,0.99
36,0.431,0.986
37,0.414,0.99
38,0.394,0.986
39,0.367,0.976
40,0.34,0.962
41,0.32,0.947
42,0.3,0.933
43,0.269,0.904
44,0.239,0.89
45,0.212,0.871
46,0.189,0.856
47,0.168,0.842
48,0.152,0.828
49,0.138,0.823
50,0.125,0.809
51,0.111,0.794
52,0.101,0.785
53,0.098,0.77
54,0.098,0.756
55,0.094,0.732
56,0.088,0.708
57,0.081,0.684
58,0.074,0.656
59,0.064,0.617
60,0.054,0.584
61,0.044,0.545
62,0.037,0.512
63,0.037,0.512
64,0.034,0.478
65,0.034,0.459
66,0.03,0.431
67,0.03,0.364
68,0.03,0.335
69,0.03,0.335
70,0.024,0.301
71,0.027,0.282
72,0.034,0.258
73,0.04,0.23
74,0.04,0.211
75,0.037,0.191
76,0.03,0.172
77,0.03,0.153
78,0.027,0.139
79,0.027,0.115
80,0.027,0.1
81,0.024,0.081
82,0.02,0.067
83,0.024,0.062
84,0.02,0.048
85,0.017,0.043
86,0.013,0.043
87,0.013,0.038
88,0.013,0.029
89,0.01,0.024
90,0.01,0.024
91,0.007,0.019
92,0.007,0.005
93,0.003,0.005
94,0.007,0.005
95,0.003,0.0
96,0.0,0.01
97,0.0,0.01
98,0.0,0.01
99,0.0,0.014
