Frame,x,y
0,0.991,0.949
1,0.991,0.949
2,0.997,0.949
3,1.0,0.949
4,0.997,0.949
5,0.997,0.955
6,0.997,0.949
7,1.0,0.949
8,0.997,0.949
9,1.0,0.949
10,1.0,0.943
11,0.997,0.943
12,0.997,0.943
13,1.0,0.943
14,0.994,0.943
15,0.991,0.949
16,0.985,0.949
17,0.985,0.943
18,0.976,0.936
19,0.964,0.936
20,0.951,0.936
21,0.945,0.936
22,0.945,0.936
23,0.927,0.949
24,0.909,0.943
25,0.897,0.949
26,0.897,0.949
27,0.888,0.962
28,0.888,0.962
29,0.875,0.968
30,0.86,0.968
31,0.845,0.968
32,0.83,0.981
33,0.818,0.981
34,0.802,0.994
35,0.784,0.987
36,0.769,0.987
37,0.757,0.994
38,0.739,0.987
39,0.723,0.987
40,0.708,0.994
41,0.696,0.994
42,0.684,0.994
43,0.672,0.994
44,0.66,1.0
45,0.644,1.0
46,0.626,0.994
47,0.611,0.994
48,0.602,0.987
49,0.584,0.981
50,0.559,0.968
51,0.538,0.943
52,0.52,0.924
53,0.502,0.93
54,0.483,0.917
55,0.462,0.904
56,0.462,0.904
57,0.438,0.892
58,0.404,0.879
59,0.365,0.873
60,0.35,0.86
61,0.325,0.834
62,0.298,0.822
63,0.298,0.822
64,0.274,0.803
65,0.255,0.783
66,0.24,0.764
67,0.231,0.739
68,0.21,0.72
69,0.195,0.694
70,0.179,0.675
71,0.167,0.65
72,0.155,0.611
73,0.143,0.573
74,0.131,0.535
75,0.119,0.503
76,0.112,0.471
77,0.112,0.427
78,0.103,0.389
79,0.088,0.357
80,0.079,0.318
81,0.082,0.293
82,0.073,0.268
83,0.061,0.229
84,0.052,0.217
85,0.052,0.197
86,0.052,0.172
87,0.043,0.153
88,0.03,0.134
89,0.021,0.108
90,0.021,0.089
91,0.021,0.089
92,0.024,0.07
93,0.015,0.045
94,0.006,0.038
95,0.006,0.006
96,0.006,0.006
97,0.006,0.006
98,0.0,0.006
99,0.0,0.0
