Frame,x,y
0,0.985,0.926
1,0.981,0.934
2,0.985,0.934
3,0.985,0.934
4,0.992,0.926
5,0.992,0.926
6,0.992,0.934
7,0.992,0.926
8,1.0,0.926
9,1.0,0.926
10,1.0,0.934
11,1.0,0.926
12,1.0,0.926
13,0.996,0.943
14,0.996,0.943
15,0.992,0.934
16,0.985,0.934
17,0.977,0.951
18,0.966,0.951
19,0.954,0.951
20,0.954,0.951
21,0.943,0.959
22,0.931,0.959
23,0.912,0.967
24,0.893,0.975
25,0.87,0.967
26,0.844,0.967
27,0.821,0.959
28,0.794,0.951
29,0.771,0.951
30,0.756,0.967
31,0.752,0.975
32,0.74,0.984
33,0.729,0.975
34,0.71,0.992
35,0.691,0.992
36,0.66,0.992
37,0.641,0.992
38,0.63,1.0
39,0.618,0.992
40,0.599,1.0
41,0.565,0.984
42,0.519,0.984
43,0.481,0.975
44,0.45,0.975
45,0.42,0.967
46,0.393,0.975
47,0.374,0.975
48,0.374,0.975
49,0.351,0.959
50,0.336,0.951
51,0.29,0.918
52,0.263,0.902
53,0.244,0.877
54,0.218,0.844
55,0.218,0.844
56,0.202,0.82
57,0.187,0.787
58,0.176,0.746
59,0.16,0.697
60,0.141,0.648
61,0.122,0.607
62,0.107,0.582
63,0.099,0.566
64,0.095,0.525
65,0.088,0.492
66,0.08,0.459
67,0.073,0.426
68,0.065,0.402
69,0.057,0.361
70,0.053,0.32
71,0.05,0.279
72,0.05,0.238
73,0.046,0.213
74,0.038,0.197
75,0.034,0.172
76,0.027,0.164
77,0.027,0.139
78,0.023,0.131
79,0.019,0.107
80,0.019,0.09
81,0.015,0.074
82,0.015,0.074
83,0.008,0.057
84,0.004,0.049
85,0.004,0.033
86,0.008,0.016
87,0.015,0.0
88,0.004,0.008
89,0.004,0.008
90,0.008,0.016
91,0.008,0.016
92,0.008,0.016
93,0.011,0.016
94,0.004,0.016
95,0.011,0.016
96,0.008,0.016
97,0.011,0.008
98,0.0,0.008
