Frame,x,y
0,0.991,0.91
1,0.991,0.904
2,0.994,0.917
3,0.994,0.917
4,0.994,0.917
5,0.997,0.923
6,1.0,0.917
7,1.0,0.917
8,0.997,0.923
9,0.997,0.923
10,1.0,0.923
11,0.997,0.923
12,0.997,0.917
13,0.997,0.923
14,0.997,0.929
15,0.994,0.923
16,0.991,0.917
17,0.982,0.929
18,0.974,0.936
19,0.962,0.929
20,0.947,0.923
21,0.926,0.936
22,0.918,0.929
23,0.909,0.929
24,0.891,0.923
25,0.874,0.929
26,0.856,0.929
27,0.835,0.936
28,0.812,0.949
29,0.785,0.955
30,0.768,0.962
31,0.756,0.968
32,0.747,0.974
33,0.732,0.987
34,0.712,0.981
35,0.712,0.981
36,0.694,0.981
37,0.682,0.994
38,0.656,1.0
39,0.635,0.994
40,0.609,0.994
41,0.609,0.994
42,0.585,0.987
43,0.565,0.981
44,0.538,0.974
45,0.521,0.974
46,0.506,0.968
47,0.485,0.962
48,0.462,0.955
49,0.438,0.949
50,0.418,0.942
51,0.391,0.929
52,0.371,0.929
53,0.347,0.929
54,0.324,0.917
55,0.297,0.91
56,0.274,0.878
57,0.253,0.865
58,0.229,0.846
59,0.209,0.808
60,0.185,0.782
61,0.171,0.763
62,0.159,0.744
63,0.15,0.718
64,0.144,0.692
65,0.135,0.66
66,0.126,0.635
67,0.118,0.596
68,0.109,0.564
69,0.109,0.564
70,0.103,0.538
71,0.091,0.506
72,0.082,0.474
73,0.074,0.449
74,0.065,0.404
75,0.059,0.385
76,0.059,0.385
77,0.053,0.359
78,0.041,0.333
79,0.038,0.321
80,0.035,0.301
81,0.038,0.288
82,0.035,0.263
83,0.035,0.237
84,0.029,0.212
85,0.026,0.192
86,0.026,0.173
87,0.026,0.167
88,0.024,0.147
89,0.021,0.122
90,0.018,0.115
91,0.015,0.096
92,0.015,0.083
93,0.015,0.071
94,0.012,0.058
95,0.009,0.051
96,0.006,0.038
97,0.006,0.038
98,0.003,0.013
99,0.0,0.0
