Frame,x,y
0,0.993,0.931
1,0.993,0.931
2,0.993,0.931
3,0.993,0.931
4,0.997,0.931
5,0.997,0.931
6,0.997,0.926
7,1.0,0.931
8,1.0,0.926
9,1.0,0.931
10,0.997,0.937
11,1.0,0.931
12,1.0,0.931
13,0.997,0.937
14,0.997,0.937
15,0.99,0.942
16,0.98,0.942
17,0.967,0.937
18,0.951,0.942
19,0.938,0.942
20,0.928,0.947
21,0.918,0.952
22,0.901,0.958
23,0.895,0.952
24,0.895,0.952
25,0.885,0.963
26,0.845,0.974
27,0.829,0.974
28,0.809,0.979
29,0.793,0.979
30,0.773,0.979
31,0.773,0.979
32,0.757,0.974
33,0.74,0.974
34,0.724,0.984
35,0.707,0.989
36,0.691,0.995
37,0.678,0.995
38,0.658,0.995
39,0.638,0.995
40,0.618,0.995
41,0.599,0.995
42,0.572,1.0
43,0.549,1.0
44,0.536,0.995
45,0.513,0.984
46,0.484,0.979
47,0.451,0.974
48,0.428,0.968
49,0.405,0.958
50,0.388,0.958
51,0.375,0.963
52,0.355,0.958
53,0.336,0.958
54,0.309,0.942
55,0.293,0.921
56,0.283,0.899
57,0.266,0.884
58,0.266,0.884
59,0.243,0.857
60,0.22,0.825
61,0.201,0.799
62,0.164,0.751
63,0.148,0.72
64,0.135,0.688
65,0.135,0.688
66,0.118,0.661
67,0.109,0.635
68,0.095,0.603
69,0.082,0.571
70,0.069,0.545
71,0.062,0.519
72,0.056,0.487
73,0.053,0.46
74,0.049,0.439
75,0.043,0.413
76,0.039,0.386
77,0.033,0.36
78,0.03,0.339
79,0.03,0.312
80,0.026,0.291
81,0.02,0.259
82,0.016,0.243
83,0.01,0.228
84,0.01,0.212
85,0.01,0.18
86,0.007,0.153
87,0.003,0.143
88,0.003,0.132
89,0.007,0.116
90,0.003,0.106
91,0.0,0.09
92,0.0,0.074
93,0.0,0.074
94,0.003,0.053
95,0.003,0.037
96,0.003,0.021
97,0.003,0.016
98,0.0,0.005
99,0.0,0.0
