Frame,x,y
0,1.0,0.904
1,0.996,0.904
2,0.996,0.904
3,0.996,0.904
4,0.993,0.904
5,0.996,0.898
6,0.993,0.916
7,0.993,0.91
8,0.989,0.91
9,0.982,0.916
10,0.982,0.916
11,0.982,0.916
12,0.982,0.91
13,0.982,0.922
14,0.974,0.916
15,0.971,0.922
16,0.963,0.922
17,0.952,0.934
18,0.938,0.946
19,0.915,0.958
20,0.897,0.976
21,0.875,0.976
22,0.853,0.988
23,0.831,0.988
24,0.809,0.988
25,0.779,0.988
26,0.761,0.994
27,0.743,0.994
28,0.724,0.994
29,0.699,0.988
30,0.665,0.982
31,0.647,0.988
32,0.64,0.994
33,0.625,0.994
34,0.607,0.994
35,0.585,0.988
36,0.562,0.994
37,0.562,0.994
38,0.544,1.0
39,0.526,1.0
40,0.496,0.994
41,0.441,0.982
42,0.415,0.982
43,0.393,0.97
44,0.393,0.97
45,0.371,0.97
46,0.357,0.97
47,0.335,0.964
48,0.309,0.94
49,0.287,0.922
50,0.265,0.904
51,0.25,0.886
52,0.239,0.88
53,0.221,0.868
54,0.202,0.85
55,0.188,0.832
56,0.176,0.82
57,0.162,0.796
58,0.151,0.772
59,0.136,0.737
60,0.121,0.707
61,0.11,0.677
62,0.096,0.641
63,0.085,0.617
64,0.077,0.593
65,0.074,0.563
66,0.062,0.539
67,0.059,0.521
68,0.051,0.497
69,0.044,0.473
70,0.04,0.443
71,0.04,0.425
72,0.04,0.425
73,0.04,0.395
74,0.04,0.365
75,0.037,0.341
76,0.037,0.317
77,0.029,0.251
78,0.029,0.234
79,0.029,0.234
80,0.026,0.204
81,0.026,0.186
82,0.026,0.168
83,0.026,0.15
84,0.026,0.126
85,0.022,0.12
86,0.018,0.102
87,0.018,0.084
88,0.018,0.078
89,0.015,0.078
90,0.015,0.06
91,0.015,0.048
92,0.011,0.036
93,0.011,0.036
94,0.011,0.036
95,0.011,0.03
96,0.007,0.024
97,0.004,0.018
98,0.004,0.012
99,0.0,0.0
